"ID","gamedate","Day","Time","League","HomeTeam","AwayTeam","bet_type","HOY.Odds","HOY.SpreadTotal","D.Odds","AUN.Odds","AUN.SpreadTotal","HOY_ImpliedOdds","AUN_ImpliedOdds","D_ImpliedOdds","HOY_ProjOdds1","AUN_ProjOdds1","D_ProjOdds1","HOY_ProjOdds2","AUN_ProjOdds2","D_ProjOdds2","HOY_ProjOdds","AUN_ProjOdds","D_ProjOdds","HOY.Odds_Diff","AUN.Odds_Diff","D.Odds_Diff","Pick","Pick_Odds","Pick_SpreadTotal","Pick_WinProb","Pick_LoseProb","Pick_Edge","Fract_Odds","Kelly_Criteria","EV","bet_type_full","Machine_Odds","KC_tier","run_timestamp"
"BrightonHoveAlbionNorwichCity202204021500",2022-04-02,"Sat","15:00","EPL","Brighton & Hove Albion","Norwich City","Alt TT",1600,2.5,,-10000,2.5,0.0588235294117647,0.99009900990099,,0.0787506083880878,0.92124938239051,,0.153951701340728,0.846048298659272,,0.116351154864408,0.883648840524891,,0.0575276254526431,-0.106450169376099,,"Over",1600,2.5,0.116351154864408,0.883648840524891,0.0575276254526431,16,0.0611231020434333,9.77969637305634,"Total Goals O/U - Norwich City - 2.5",759,"0.05",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","ML",1100,,500,-420,,0.0833333333333333,0.807692307692308,0.166666666666667,0.07929000079796,0.763092777474469,0.157617221727571,0.159032789255713,0.610253147432931,0.230714063311356,0.119161395026836,0.6866729624537,0.194165642519464,0.0358280616935032,-0.121019345238608,0.027498975852797,"Burnley",1100,,0.119161395026836,0.880838604973164,0.0358280616935032,11,0.0390851582110944,4.29936740322038,"3-Way Moneyline",739,"0",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt Spread",310,0.5,,-415,-0.5,0.24390243902439,0.805825242718447,,0.236871428710191,0.763092777474469,,0.389746852567069,0.610253147432931,,0.31330914063863,0.6866729624537,,0.0694067016142397,-0.119152280264747,,"Burnley",310,0.5,0.31330914063863,0.6866729624537,0.0694067016142397,3.1,0.0917959601994782,2.84585373526053,"Alternate Spread - Home: 0.5",219,"0.05",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt Spread",235,1,,-295,-1,0.298507462686567,0.746835443037975,,0.236871428710191,0.530578729852725,,0.300648370531108,0.425858261968816,,0.26875989962065,0.47821849591077,,-0.0297475630659176,-0.268616947127205,,"Burnley",235,1,0.26875989962065,0.47821849591077,-0.0297475630659176,2.35,-0.0424061005407762,1.53367268197756,"Alternate Spread - Home: 1",272,"-0.05",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt Spread",118,1.5,,-143,-1.5,0.458715596330275,0.588477366255144,,0.469385476331935,0.530578729852725,,0.642138483665091,0.357861516334909,,0.555761979998513,0.444220123093817,,0.0970463836682378,-0.144257243161327,,"Burnley",118,1.5,0.555761979998513,0.444220123093817,0.0970463836682378,1.18,0.179289081692168,2.11579013304429,"Alternate Spread - Home: 1.5",-125,"0.15",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt Spread",-143,2,,118,-2,0.588477366255144,0.458715596330275,,0.469385476331935,0.305866968696456,,0.49932778589264,0.299704479541827,,0.484356631112288,0.302785724119141,,-0.104120735142856,-0.155929872211134,,"Burnley",-143,2,0.484356631112288,0.302785724119141,-0.104120735142856,0.699300699300699,-0.253013386397141,9.17340216602659,"Alternate Spread - Home: 2",106,"-0.3",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt Spread",-210,2.5,,169,-2.5,0.67741935483871,0.371747211895911,,0.694097237488204,0.305866968696456,,0.642138483665091,0.357861516334909,,0.668117860576648,0.331864242515682,,-0.00930149426206206,-0.0398829693802285,,"Burnley",-210,2.5,0.668117860576648,0.331864242515682,-0.00930149426206206,0.476190476190476,-0.0288346322123925,13.6503276985958,"Alternate Spread - Home: 2.5",-201,"-0.05",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt Spread",-440,3,,330,-3,0.814814814814815,0.232558139534884,,0.694097237488204,0.147596014074767,,0.599636623129457,0.195693880151536,,0.646866930308831,0.171644947113151,,-0.167947884505984,-0.0609131924217323,,"Manchester City",330,-3,0.171644947113151,0.646866930308831,-0.0609131924217323,3.3,-0.079371735579833,-0.80438604835431,"Alternate Spread - Home: 3",483,"-0.1",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt Total",-550,1.5,,395,1.5,0.846153846153846,0.202020202020202,,0.795415499333775,0.204548706850884,,0.501040699099441,0.498959300900559,,0.648228099216608,0.351754003875722,,-0.197925746937238,0.14973380185552,,"Under",395,1.5,0.351754003875722,0.648228099216608,0.14973380185552,3.95,0.187641093464512,7.41200216092492,"Alternate Total - 1.5",184,"0.15",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt Total",-390,2,,295,2,0.795918367346939,0.253164556962025,,0.568721903684883,0.204548706850884,,0.474687833619372,0.276136059574312,,0.521704868652127,0.240342383212598,,-0.274213498694811,-0.0128221737494269,,"Under",295,2,0.240342383212598,0.521704868652127,-0.0128221737494269,2.95,-0.0171686733255038,1.87305161825038,"Alternate Total - 2",316,"-0.05",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt Total",-170,2.5,,140,2.5,0.62962962962963,0.416666666666667,,0.568721903684883,0.431242302499777,,0.501040699099441,0.498959300900559,,0.534881301392162,0.465100801700168,,-0.0947483282374675,0.048434135033501,,"Under",140,2.5,0.465100801700168,0.534881301392162,0.048434135033501,1.4,0.0830299457717159,1.16259820988073,"Alternate Total - 2.5",115,"0.05",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt Total",145,3.5,,-177,3.5,0.408163265306122,0.63898916967509,,0.344728139455304,0.655236066729356,,0.320705313954788,0.679294686045212,,0.332716726705046,0.667265376387284,,-0.0754465386010762,0.0282762067121934,,"Under",-177,3.5,0.667265376387284,0.332716726705046,0.0282762067121934,0.564971751412429,0.0783250925927761,12.5617398265522,"Alternate Total - 3.5",-201,"0.05",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt Total",265,4,,-340,4,0.273972602739726,0.772727272727273,,0.178733574401141,0.655236066729356,,0.180079431850701,0.619802513134209,,0.179406503125921,0.637519289931782,,-0.0945660996138048,-0.13520798279549,,"Over",265,4,0.179406503125921,0.637519289931782,-0.0945660996138048,2.65,-0.130251420222788,-1.62092056648091,"Alternate Total - 4",457,"-0.15",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt Total",330,4.5,,-440,4.5,0.232558139534884,0.814814814814815,,0.178733574401141,0.821230631783518,,0.201120680600928,0.798879319399072,,0.189927127501035,0.810054975591295,,-0.0426310120338492,-0.00475983922351941,,"Under",-440,4.5,0.810054975591295,0.189927127501035,-0.00475983922351941,0.227272727272727,-0.0257031318070051,16.4573433659585,"Alternate Total - 4.5",-426,"-0.05",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","BTTS",118,,,-155,,0.458715596330275,0.607843137254902,,0.414907245927992,0.585092754072008,,0.473232405279774,0.526767594720226,,0.444069825603883,0.555930174396117,,-0.0146457707263926,-0.0519129628587846,,"Yes",118,,0.444069825603883,0.555930174396117,-0.0146457707263926,1.18,-0.0270574408335049,-0.319277801835358,"Both Teams To Score",125,"-0.05",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Draw No Bet",750,,,-1500,,0.117647058823529,0.9375,,0.07929000079796,0.763092777474469,,0.159032789255713,0.610253147432931,,0.119161395026836,0.6866729624537,,0.00151433620330708,-0.2508270375463,,"Burnley",750,,0.119161395026836,0.6866729624537,0.00151433620330708,7.5,0.00171624769708136,2.07037500247574,"Draw No Bet",739,"0",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Total",-105,3,,-115,3,0.51219512195122,0.534883720930233,,0.344728139455304,0.431242302499777,,0.30188988133278,0.451957812911916,,0.323309010394042,0.441600057705846,,-0.188886111557177,-0.0932836632243861,,"Under",-115,3,0.441600057705846,0.323309010394042,-0.0932836632243861,0.869565217391304,-0.20055987593243,8.13405419658995,"Total",126,"-0.25",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","TT",108,0.5,,-128,0.5,0.480769230769231,0.56140350877193,,0.458636991745257,0.541363008188326,,0.477137045363531,0.522862954636469,,0.467887018554394,0.532112981412398,,-0.012882212214837,-0.0292905273595321,,"Over",108,0.5,0.467887018554394,0.532112981412398,-0.012882212214837,1.08,-0.0248101864878342,-0.267950013736525,"Total Goals O/U - Burnley - 0.5",114,"-0.05",2022-04-01 00:29:54
