"game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","description","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate","copyright","totalItems","totalEvents","totalGames","totalGamesInProgress"
662149,"/api/v1.1/game/662149/feed/live","R","2022","2022-07-02T02:10:00Z","2022-07-01",FALSE,1,TRUE,"N","P","N","14-662149-2022-07-01","2022","night",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,3,TRUE,FALSE,25,26,53,"0.329",133,"Oakland Athletics","/api/v1/teams/133",1,FALSE,FALSE,25,37,42,"0.468",136,"Seattle Mariners","/api/v1/teams/136",680,"T-Mobile Park","/api/v1/venues/680","/api/v1/game/662149/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662079,"/api/v1.1/game/662079/feed/live","R","2022","2022-07-02T02:15:00Z","2022-07-01",FALSE,1,TRUE,"N","P","N","14-662079-2022-07-01","2022","night",NA,9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,1,TRUE,FALSE,25,36,39,"0.48",145,"Chicago White Sox","/api/v1/teams/145",0,FALSE,FALSE,26,40,35,"0.533",137,"San Francisco Giants","/api/v1/teams/137",2395,"Oracle Park","/api/v1/venues/2395","/api/v1/game/662079/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662964,"/api/v1.1/game/662964/feed/live","R","2022","2022-07-01T23:10:00Z","2022-07-02",NA,1,TRUE,"N","P","N","14-662964-2022-07-01","2022","night",NA,9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","2022-07-02T16:10:00Z","2022-07-02","Final","D","Postponed","DR",FALSE,"FALSE","Rain",NA,NA,FALSE,26,57,21,"0.731",147,"New York Yankees","/api/v1/teams/147",NA,NA,FALSE,25,39,35,"0.527",114,"Cleveland Guardians","/api/v1/teams/114",5,"Progressive Field","/api/v1/venues/5","/api/v1/game/662964/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661724,"/api/v1.1/game/661724/feed/live","R","2022","2022-07-02T16:07:00Z","2022-07-02",FALSE,1,TRUE,"S","P","N","14-661724-2022-07-02","2022","day",NA,9,FALSE,120,5,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,6,TRUE,FALSE,25,41,36,"0.532",139,"Tampa Bay Rays","/api/v1/teams/139",2,FALSE,FALSE,25,44,34,"0.564",141,"Toronto Blue Jays","/api/v1/teams/141",14,"Rogers Centre","/api/v1/venues/14","/api/v1/game/661724/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661836,"/api/v1.1/game/661836/feed/live","R","2022","2022-07-02T22:07:00Z","2022-07-02",FALSE,2,TRUE,"S","P","N","14-661836-2022-07-02","2022","night","Rescheduled from 4/4",9,FALSE,120,5,4,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,11,TRUE,FALSE,25,42,36,"0.538",139,"Tampa Bay Rays","/api/v1/teams/139",5,FALSE,FALSE,25,44,35,"0.557",141,"Toronto Blue Jays","/api/v1/teams/141",14,"Rogers Centre","/api/v1/venues/14","/api/v1/game/661836/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662964,"/api/v1.1/game/662964/feed/live","R","2022","2022-07-02T16:10:00Z","2022-07-02",FALSE,1,TRUE,"S","P","N","14-662964-2022-07-02","2022","day","Makeup of 7/1 PPD",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,13,TRUE,FALSE,26,57,21,"0.731",147,"New York Yankees","/api/v1/teams/147",4,FALSE,FALSE,25,39,35,"0.527",114,"Cleveland Guardians","/api/v1/teams/114",5,"Progressive Field","/api/v1/venues/5","/api/v1/game/662964/content","2022-07-01T23:10:00Z","2022-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA
662954,"/api/v1.1/game/662954/feed/live","R","2022","2022-07-02T22:10:00Z","2022-07-02",FALSE,2,TRUE,"S","P","N","14-662954-2022-07-02","2022","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,6,TRUE,FALSE,26,58,21,"0.734",147,"New York Yankees","/api/v1/teams/147",1,FALSE,FALSE,25,39,36,"0.52",114,"Cleveland Guardians","/api/v1/teams/114",5,"Progressive Field","/api/v1/venues/5","/api/v1/game/662954/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661683,"/api/v1.1/game/661683/feed/live","R","2022","2022-07-02T18:10:00Z","2022-07-02",FALSE,1,TRUE,"N","P","N","14-661683-2022-07-02","2022","day",NA,9,FALSE,NA,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,3,FALSE,FALSE,25,35,44,"0.443",110,"Baltimore Orioles","/api/v1/teams/110",4,TRUE,FALSE,25,45,36,"0.556",142,"Minnesota Twins","/api/v1/teams/142",3312,"Target Field","/api/v1/venues/3312","/api/v1/game/661683/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661581,"/api/v1.1/game/661581/feed/live","R","2022","2022-07-02T20:05:00Z","2022-07-02",FALSE,1,TRUE,"N","P","N","14-661581-2022-07-02","2022","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,7,TRUE,FALSE,25,44,36,"0.55",138,"St. Louis Cardinals","/api/v1/teams/138",6,FALSE,FALSE,25,41,38,"0.519",143,"Philadelphia Phillies","/api/v1/teams/143",2681,"Citizens Bank Park","/api/v1/venues/2681","/api/v1/game/661581/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662101,"/api/v1.1/game/662101/feed/live","R","2022","2022-07-02T20:05:00Z","2022-07-02",FALSE,1,TRUE,"N","P","N","14-662101-2022-07-02","2022","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,5,TRUE,FALSE,25,37,39,"0.487",145,"Chicago White Sox","/api/v1/teams/145",3,FALSE,FALSE,26,40,36,"0.526",137,"San Francisco Giants","/api/v1/teams/137",2395,"Oracle Park","/api/v1/venues/2395","/api/v1/game/662101/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
