"game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","description","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","copyright","totalItems","totalEvents","totalGames","totalGamesInProgress","rescheduleDate","rescheduleGameDate","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
567172,"/api/v1.1/game/567172/feed/live","R","2019","2019-04-28T17:20:00Z","2019-04-28",FALSE,1,TRUE,"N","P","N","14-567172-2019-04-28","2019","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,7,FALSE,FALSE,9,13,15,".464",115,"Colorado Rockies","/api/v1/teams/115",8,TRUE,FALSE,9,13,14,".481",144,"Atlanta Braves","/api/v1/teams/144",4705,"SunTrust Park","/api/v1/venues/4705","/api/v1/game/567172/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565908,"/api/v1.1/game/565908/feed/live","R","2019","2019-04-28T17:35:00Z","2019-04-28",FALSE,1,TRUE,"N","P","N","14-565908-2019-04-28","2019","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,6,FALSE,FALSE,9,16,12,".571",135,"San Diego Padres","/api/v1/teams/135",7,TRUE,FALSE,9,12,14,".462",120,"Washington Nationals","/api/v1/teams/120",3309,"Nationals Park","/api/v1/venues/3309","/api/v1/game/565908/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566974,"/api/v1.1/game/566974/feed/live","R","2019","2019-04-28T18:10:00Z","2019-04-28",FALSE,1,TRUE,"N","P","N","14-566974-2019-04-28","2019","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,9,10,19,".345",110,"Baltimore Orioles","/api/v1/teams/110",4,TRUE,FALSE,9,16,9,".640",142,"Minnesota Twins","/api/v1/teams/142",3312,"Target Field","/api/v1/venues/3312","/api/v1/game/566974/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567274,"/api/v1.1/game/567274/feed/live","R","2019","2019-04-28T18:10:00Z","2019-04-28",FALSE,1,TRUE,"N","P","N","14-567274-2019-04-28","2019","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,9,12,14,".462",116,"Detroit Tigers","/api/v1/teams/116",4,TRUE,FALSE,9,11,14,".440",145,"Chicago White Sox","/api/v1/teams/145",4,"Guaranteed Rate Field","/api/v1/venues/4","/api/v1/game/567274/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565716,"/api/v1.1/game/565716/feed/live","R","2019","2019-04-28T18:15:00Z","2019-04-28",FALSE,1,TRUE,"N","P","N","14-565716-2019-04-28","2019","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,7,TRUE,FALSE,9,12,17,".414",108,"Los Angeles Angels","/api/v1/teams/108",3,FALSE,FALSE,9,9,19,".321",118,"Kansas City Royals","/api/v1/teams/118",7,"Kauffman Stadium","/api/v1/venues/7","/api/v1/game/565716/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566582,"/api/v1.1/game/566582/feed/live","R","2019","2019-04-28T18:15:00Z","2019-04-28",FALSE,1,TRUE,"N","P","N","14-566582-2019-04-28","2019","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,9,11,16,".407",113,"Cincinnati Reds","/api/v1/teams/113",5,TRUE,FALSE,9,17,10,".630",138,"St. Louis Cardinals","/api/v1/teams/138",2889,"Busch Stadium","/api/v1/venues/2889","/api/v1/game/566582/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566483,"/api/v1.1/game/566483/feed/live","R","2019","2019-04-28T20:05:00Z","2019-04-28",FALSE,1,TRUE,"N","P","N","14-566483-2019-04-28","2019","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,11,TRUE,FALSE,9,17,11,".607",147,"New York Yankees","/api/v1/teams/147",5,FALSE,FALSE,9,11,17,".393",137,"San Francisco Giants","/api/v1/teams/137",2395,"Oracle Park","/api/v1/venues/2395","/api/v1/game/566483/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564844,"/api/v1.1/game/564844/feed/live","R","2019","2019-04-28T20:10:00Z","2019-04-28",FALSE,1,TRUE,"N","P","N","14-564844-2019-04-28","2019","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,9,14,12,".538",112,"Chicago Cubs","/api/v1/teams/112",5,FALSE,FALSE,9,16,13,".552",109,"Arizona Diamondbacks","/api/v1/teams/109",15,"Chase Field","/api/v1/venues/15","/api/v1/game/564844/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565814,"/api/v1.1/game/565814/feed/live","R","2019","2019-04-28T20:10:00Z","2019-04-28",FALSE,1,TRUE,"N","P","N","14-565814-2019-04-28","2019","day",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,6,FALSE,FALSE,9,12,14,".462",134,"Pittsburgh Pirates","/api/v1/teams/134",7,TRUE,FALSE,9,19,11,".633",119,"Los Angeles Dodgers","/api/v1/teams/119",22,"Dodger Stadium","/api/v1/venues/22","/api/v1/game/565814/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566387,"/api/v1.1/game/566387/feed/live","R","2019","2019-04-28T20:10:00Z","2019-04-28",FALSE,1,TRUE,"N","P","N","14-566387-2019-04-28","2019","day",NA,9,FALSE,120,4,4,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,14,TRUE,FALSE,9,14,13,".519",140,"Texas Rangers","/api/v1/teams/140",1,FALSE,FALSE,10,18,13,".581",136,"Seattle Mariners","/api/v1/teams/136",680,"T-Mobile Park","/api/v1/venues/680","/api/v1/game/566387/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565618,"/api/v1.1/game/565618/feed/live","R","2019","2019-04-28T23:05:00Z","2019-04-28",FALSE,1,TRUE,"N","P","N","14-565618-2019-04-28","2019","night",NA,9,FALSE,145,4,4,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,9,15,12,".556",114,"Cleveland Indians","/api/v1/teams/114",4,TRUE,FALSE,9,17,11,".607",117,"Houston Astros","/api/v1/teams/117",2392,"Minute Maid Park","/api/v1/venues/2392","/api/v1/game/565618/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565909,"/api/v1.1/game/565909/feed/live","R","2019","2019-04-29T23:05:00Z","2019-04-29",FALSE,1,TRUE,"N","P","N","14-565909-2019-04-29","2019","night",NA,9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,10,18,10,".643",138,"St. Louis Cardinals","/api/v1/teams/138",3,FALSE,FALSE,10,12,15,".444",120,"Washington Nationals","/api/v1/teams/120",3309,"Nationals Park","/api/v1/venues/3309","/api/v1/game/565909/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566001,"/api/v1.1/game/566001/feed/live","R","2019","2019-04-29T23:10:00Z","2019-04-29",FALSE,1,TRUE,"N","P","N","14-566001-2019-04-29","2019","night",NA,9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,10,12,16,".429",113,"Cincinnati Reds","/api/v1/teams/113",4,FALSE,FALSE,10,14,14,".500",121,"New York Mets","/api/v1/teams/121",3289,"Citi Field","/api/v1/venues/3289","/api/v1/game/566001/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565040,"/api/v1.1/game/565040/feed/live","R","2019","2019-04-29T23:10:00Z","2019-04-29",FALSE,1,TRUE,"N","P","N","14-565040-2019-04-29","2019","night",NA,9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,11,14,17,".452",133,"Oakland Athletics","/api/v1/teams/133",9,TRUE,FALSE,10,12,17,".414",111,"Boston Red Sox","/api/v1/teams/111",3,"Fenway Park","/api/v1/venues/3","/api/v1/game/565040/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567173,"/api/v1.1/game/567173/feed/live","R","2019","2019-04-29T23:20:00Z","2019-04-29",FALSE,1,TRUE,"N","P","N","14-567173-2019-04-29","2019","night",NA,9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,10,16,13,".552",135,"San Diego Padres","/api/v1/teams/135",3,TRUE,FALSE,10,14,14,".500",144,"Atlanta Braves","/api/v1/teams/144",4705,"SunTrust Park","/api/v1/venues/4705","/api/v1/game/567173/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
