Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Tyler Wade","OAK",10,40,36,8,6,2,0,0,4,2,3,0,10,0,0,1,1,2,1,0.2152,0.0756998,0.240907,0.314229,0.280792,0.294034,0.258107,0.574826,0.0788334,6.47002,0.283854,,0.207653,2.93912,-1.64341,70.3932,0.207653,-0.1,-1.1275387704372406,0.1572016403079033,0.0318877,750.6400146484375,,,,"15730"
"David Dahl","SDP",15,63,58,13,9,3,0,1,6,6,4,0,16,0,0,0,1,0,0,0.229439,0.0628014,0.253958,0.24729,0.281919,0.350217,0.278358,0.632136,0.120778,3.84573,0.293354,,-0.03328,5.63438,-1.57056,81.411,-0.03328,0.26,-1.3941186182200909,-0.4342693090438843,0.0302175,999,,,,"13744"
"Anthony Bemboom","BAL",5,19,17,3,2,1,0,0,2,2,1,0,5,0,0,0,0,0,0,0.194444,0.0783845,0.265202,0.295566,0.263863,0.296874,0.251623,0.560737,0.10243,2.94138,0.252594,,-0.0124138,1.27321,-0.861806,60.8467,-0.0124138,0.13,-0.8350664982572198,0.5158024728298187,0.0288021,999,,,,"13854"
"Buddy Kennedy","ARI",3,14,12,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0.240573,0.079576,0.241934,0.328916,0.304496,0.357213,0.292035,0.66171,0.116641,4.48767,0.307112,,-0.00255744,1.38132,-0.193725,85.2154,-0.00255744,-0.01,-0.23916160920634866,0.03629629500210285,0.0272722,999,,,,"22505"
"Estevan Florial","NYY",19,84,75,15,10,3,0,2,9,7,7,0,29,0,0,0,1,2,1,0.201972,0.0869893,0.34961,0.248818,0.275166,0.326339,0.267226,0.601505,0.124367,5.52168,0.299736,,0.144847,6.73386,-2.8217,72.3974,0.144847,0.71,-2.450846776366234,0.04361391067504883,0.0261877,740.3099975585938,,,,"19151"
"Braden Shewmake","ATL",6,28,26,6,4,1,0,0,3,3,2,0,7,0,0,0,0,0,0,0.22567,0.0569829,0.23761,0.239817,0.273569,0.34287,0.271011,0.616439,0.1172,4.5398,0.282595,,-0.000739835,2.33469,-0.859181,70.1909,-0.000739835,0,-0.9680993185611442,0.277777761220932,0.0260139,999,,,,"sa3010332"
"Michael Chavis",,5,20,19,4,3,1,0,1,2,2,1,0,6,0,0,0,0,0,0,0.234687,0.0533694,0.294826,0.18102,0.283278,0.407678,0.299953,0.690956,0.172991,3.92211,0.300032,,-0.00527867,2.16736,-0.158158,90.9228,-0.00527867,0,-0.21976252226158977,-0.23148147761821747,0.0243373,746.3499755859375,,,,"17321"
"Nick Pratto","KCR",75,311,276,58,33,14,1,9,32,33,30,1,105,3,2,0,4,4,1,0.209083,0.0962998,0.336155,0.286474,0.292234,0.369681,0.29214,0.661915,0.160598,4.55978,0.29586,,0.0589878,31.2474,-4.35279,85.9067,0.0589878,1.18,-4.878559410572052,-4.796001315116882,0.0234181,566.9199829101562,,,,"22117"
"Blaine Crim","TEX",3,14,13,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0.241052,0.0533487,0.204741,0.260567,0.289184,0.367666,0.287537,0.656851,0.126614,2.37166,0.283785,,-0.0109976,1.32618,-0.241841,85.8972,-0.0109976,0,-0.22861983347684145,0,0.021768,999,,,,"sa3010170"
"Pedro Leon","HOU",6,28,25,5,3,1,0,1,3,2,2,0,9,0,0,0,0,1,0,0.196778,0.0884026,0.335563,0.263445,0.280385,0.317986,0.268242,0.598371,0.121209,6.09778,0.285632,,0.0731162,2.29389,-0.92893,72.9116,0.0731162,0,-0.7860308513045311,0.09259258955717087,0.0212696,999,,,,"sa3014838"
