Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Wander Franco","TBR",144,614,556,155,103,34,4,14,73,70,48,2,64,4,5,1,13,10,3,0.278668,0.0787657,0.103866,0.758339,0.337468,0.429394,0.333575,0.766862,0.150726,4.87156,0.291815,,0.155351,81.8102,11.6161,123.492,0.155351,1.04,16.38371928036213,6.9576029777526855,4.4998,91.69000244140625,,,,"23667"
"Brandon Nimmo","NYM",144,627,533,141,96,28,5,13,81,62,75,1,116,14,3,2,15,6,2,0.264841,0.120291,0.184227,0.65295,0.368472,0.40718,0.344447,0.775652,0.14234,4.72832,0.31466,,-0.25947,89.03,17.2892,128.742,-0.25947,-1.44,20.691234916448593,0.7822220325469971,4.46703,174.3800048828125,,,,"12927"
"Sean Murphy","ATL",141,568,502,125,75,28,0,22,71,72,51,1,125,11,4,1,11,0,0,0.249831,0.089101,0.22,0.405004,0.328976,0.441428,0.335559,0.770404,0.191597,1.98009,0.287051,,-0.548501,76.624,11.6482,114.31,-0.548501,8.85,8.898887813091278,13.426948070526123,4.34791,124.30999755859375,,,,"19352"
"Bryan Reynolds","PIT",154,653,574,157,100,30,4,23,83,84,65,5,137,9,4,0,12,6,2,0.274128,0.0998113,0.210293,0.474629,0.354916,0.46036,0.352873,0.815276,0.186232,4.27884,0.321735,,-0.227736,97.0598,22.3703,128.075,-0.227736,-3.95,21.07851703464985,-1.7735869884490967,4.33028,93.91999816894531,,,,"19326"
"Willy Adames","MIL",146,622,560,139,82,27,2,28,78,82,56,2,169,3,3,1,9,7,3,0.247666,0.0893701,0.27125,0.329475,0.3172,0.454407,0.333612,0.771607,0.206741,3.88956,0.301143,,-0.263639,83.0027,11.8012,114.946,-0.263639,1.29,10.548984229564667,8.049259185791016,4.14851,98.5,,,,"15986"
"Willson Contreras","STL",131,525,452,117,71,22,2,22,72,67,52,1,122,17,3,1,12,6,2,0.257613,0.0982913,0.233487,0.420971,0.353303,0.459069,0.354849,0.812372,0.201456,4.21241,0.304612,,-0.305476,78.8064,18.797,133.391,-0.305476,-3.18,20.054276168346405,1.5370781421661377,4.11763,102.5,,,,"11609"
"Nolan Arenado","STL",156,666,600,149,92,30,2,25,77,84,55,4,89,5,6,1,10,3,1,0.248698,0.0826471,0.133356,0.619747,0.313946,0.431527,0.322253,0.745473,0.182829,2.98642,0.251852,,-0.520627,82.8525,6.62133,111.112,-0.520627,6.08,8.085876286029816,7.885555386543274,4.02782,34.77000045776367,,,,"9777"
"Alejandro Kirk","TOR",131,533,468,126,84,24,0,18,65,66,55,2,67,6,4,1,14,0,0,0.27006,0.102426,0.125934,0.813332,0.35089,0.437904,0.344727,0.788794,0.167844,1.54751,0.280173,,-0.602402,75.8236,14.8201,126.952,-0.602402,3.9,15.578177988529205,5.274691343307495,3.97024,102.3499984741211,,,,"22581"
"Dansby Swanson","CHC",154,651,587,149,94,29,2,23,79,77,53,1,162,5,5,2,10,13,4,0.254252,0.0807785,0.248401,0.325194,0.318609,0.430806,0.325862,0.749414,0.176553,4.80063,0.310373,,0.188662,82.8547,8.33996,110.473,0.188662,0.22,8.118298813700676,7.349629610776901,3.92202,82.37999725341797,,,,"18314"
"Byron Buxton","MIN",130,554,496,123,62,27,3,31,80,79,47,1,157,8,3,1,6,11,3,0.248106,0.0839875,0.283328,0.296432,0.320977,0.500271,0.352435,0.821248,0.252165,5.51797,0.297105,,0.639078,82.1598,18.7876,133.147,0.639078,2.38,21.311204850673676,-1.6323456764221191,3.91612,110.6500015258789,,,,"14161"
"Marcus Semien","TEX",156,658,591,147,88,31,3,25,83,77,57,0,123,3,5,1,8,16,5,0.248632,0.0859352,0.186317,0.46123,0.315421,0.438164,0.327535,0.753585,0.189532,5.16668,0.272201,,0.770486,84.594,9.30169,114.123,0.770486,1.5,11.235085785388947,4.459104776382446,3.84571,34.380001068115234,,,,"12533"
