Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",12,7,,3.13126,28,28,0,0,151,621,115,57,53,16,54,,7,206,12.2406,3.21928,3.80228,0.964487,0.331344,0.0871436,0.24420048296451569,0.205338,1.11722,0.29232,0.76725,,,3.00291,3.53585,3.8071,26.229999542236328,,,,"27498"
"Max Fried","ATL",14,8,,3.30995,31,31,0,0,186,773,179,75,69,18,43,,7,171,8.23404,2.09739,3.92584,0.8698,0.220495,0.056165,0.16433001682162285,0.246985,1.19145,0.300382,0.747777,,,3.34555,3.53055,4.17584,66.87000274658203,,,,"13743"
"Framber Valdez","HOU",14,8,,3.2509,31,31,0,0,195,813,174,77,70,15,67,,11,181,8.38823,3.097,2.7085,0.68498,0.223022,0.0823416,0.14068084210157394,0.236966,1.23982,0.295695,0.744165,,,3.43525,3.40881,4.11265,76.25,,,,"17295"
"Dylan Cease","CHW",13,9,,3.58498,32,32,0,0,187,783,151,80,74,24,74,,7,228,10.9845,3.5844,3.06453,1.13743,0.291505,0.0951221,0.19638262689113617,0.215242,1.20599,0.283214,0.75576,,,3.61725,3.40344,3.24814,47.56999969482422,,,,"18525"
"Julio Urías","LAD",15,9,,3.62227,32,32,0,0,190,782,172,82,76,25,45,,7,183,8.67402,2.15469,4.02564,1.19139,0.234065,0.0581436,0.17592181637883186,0.235478,1.14403,0.281279,0.74082,,,3.73364,3.40177,3.37642,57.849998474121094,,,,"14765"
"Logan Webb","SFG",13,10,,3.55109,32,32,0,0,195,819,190,84,77,17,52,,8,175,8.0527,2.40347,3.35045,0.770187,0.213413,0.0636968,0.14971594512462616,0.250257,1.23866,0.305305,0.722475,,,3.36576,3.35752,3.52124,108.70999908447266,,,,"17995"
"Blake Snell","SDP",12,8,,3.49795,29,29,0,0,157,653,127,66,61,18,61,,4,195,11.1671,3.47007,3.21812,1.03561,0.298769,0.0928395,0.20592965185642242,0.21583,1.19383,0.290156,0.748813,,,3.35101,3.26886,2.89761,107.76000213623047,,,,"13543"
"Clayton Kershaw","LAD",12,8,,3.40113,29,29,0,0,166,681,152,69,63,22,35,,4,176,9.49065,1.91626,4.9527,1.2048,0.25778,0.0520484,0.2057315856218338,0.23657,1.12475,0.29181,0.760563,,,3.4528,3.19876,3.24601,117.18000030517578,,,,"2036"
"Nick Lodolo","CIN",9,8,,3.77081,29,29,0,0,160,676,140,73,67,20,53,,17,189,10.6224,2.97009,3.57646,1.12117,0.279271,0.0780859,0.20118556171655655,0.230587,1.20398,0.301526,0.728272,,,3.67955,3.14842,3.13496,132.0800018310547,,,,"26378"
"Joe Musgrove","SDP",11,7,,3.44679,29,29,0,0,174,719,153,72,67,20,43,,12,170,8.79105,2.22906,3.94383,1.05345,0.23671,0.0600202,0.17668934538960457,0.231321,1.12877,0.281402,0.740156,,,3.63316,3.11477,3.34128,99.33000183105469,,,,"12970"
"Alex Cobb","SFG",10,8,,3.53069,29,29,0,0,161,677,155,69,63,13,49,,5,156,8.71485,2.76309,3.15403,0.748887,0.229793,0.0728569,0.1569356918334961,0.248227,1.26956,0.311141,0.728903,,,3.26599,2.9742,2.94501,218.69000244140625,,,,"6562"
"Zac Gallen","ARI",10,9,,3.59838,31,31,0,0,179,745,157,77,72,21,54,,9,191,9.57708,2.71136,3.53221,1.05713,0.255968,0.0724666,0.1835009679198265,0.230027,1.17731,0.288781,0.735614,,,3.5576,2.95822,3.52772,71.62999725341797,,,,"19291"
"Alek Manoah","TOR",13,10,,3.74796,32,32,0,0,199,829,170,89,83,25,58,,18,194,8.80182,2.6353,3.33997,1.13037,0.234406,0.0701821,0.16422369331121445,0.225544,1.14716,0.27148,0.71819,,,3.94193,2.92784,2.95725,67.37000274658203,,,,"26410"
"Hunter Greene","CIN",10,10,,3.94818,29,29,0,0,156,658,131,74,69,23,58,,10,194,11.1563,3.34293,3.33729,1.30411,0.294396,0.0882141,0.20618191361427307,0.221843,1.20896,0.289702,0.732085,,,3.82298,2.90741,2.76598,106.41999816894531,,,,"22182"
"Brady Singer","KCR",10,10,,3.89935,31,31,0,0,179,759,174,84,77,19,52,,12,167,8.40575,2.62542,3.20168,0.97363,0.219953,0.0686995,0.15125400573015213,0.249997,1.26418,0.303496,0.713686,,,3.71973,2.89074,2.85833,182.07000732421875,,,,"25377"
"Nestor Cortes","NYY",11,8,,3.68964,29,29,0,0,169,702,150,74,69,24,47,,4,176,9.3331,2.49194,3.74531,1.24953,0.250345,0.066842,0.1835024654865265,0.230135,1.16115,0.27955,0.746391,,,3.74312,2.73734,2.53793,120.30000305175781,,,,"17874"
"Lance Lynn","CHW",12,10,,3.90658,31,31,0,0,180,750,170,84,78,25,45,,8,177,8.85216,2.24153,3.94916,1.26722,0.235401,0.059608,0.17579330876469612,0.243515,1.19491,0.291708,0.72673,,,3.85805,2.72922,2.36855,129.92999267578125,,,,"2520"
"Yu Darvish","SDP",12,9,,3.85281,29,29,0,0,181,742,158,84,78,26,43,,10,185,9.1898,2.11211,4.351,1.2927,0.2492,0.0572741,0.19192549958825111,0.229701,1.10958,0.276562,0.713464,,,3.80335,2.7043,2.4552,72.87000274658203,,,,"13074"
"Kodai Senga","NYM",11,9,,3.60446,28,28,0,0,166,690,139,72,67,19,55,,7,177,9.60115,2.99136,3.20963,1.01592,0.257306,0.0801668,0.1771387681365013,0.221001,1.1658,0.278046,0.7285,,,3.57097,2.70305,2.48696,181.05999755859375,,,,"31838"
"Patrick Sandoval","LAA",10,8,,3.66514,29,29,0,0,163,693,149,72,66,18,63,,5,165,9.12373,3.46114,2.63605,0.9775,0.238572,0.0905038,0.14806842803955078,0.238936,1.30003,0.297835,0.748344,,,3.75039,2.66317,2.74677,203.9499969482422,,,,"19447"
"Jordan Montgomery","STL",10,7,,3.52615,31,31,0,0,172,712,162,73,67,19,43,,5,151,7.91294,2.25759,3.50504,1.00774,0.211873,0.0604482,0.15142497420310974,0.244573,1.19681,0.289919,0.740698,,,3.6553,2.65187,3.13312,167.35000610351562,,,,"16511"
"Garrett Whitlock","BOS",9,7,,3.70675,33,21,0,1,144,597,135,64,59,17,37,,4,144,8.98255,2.28381,3.93314,1.03959,0.24075,0.0612107,0.17953964695334435,0.242692,1.19119,0.298982,0.722269,,,3.46689,2.63918,2.38999,298.3599853515625,,,,"20191"
"Tyler Glasnow","TBR",8,6,,3.24667,24,24,0,0,138,561,107,54,50,17,45,,2,176,11.4655,2.95202,3.88396,1.11413,0.314152,0.0808844,0.2332671955227852,0.208594,1.10274,0.281021,0.762835,,,3.19715,2.60203,2.68228,147.97999572753906,,,,"14374"
"Germán Márquez","COL",11,12,,4.62812,32,32,0,0,194,835,203,107,100,26,62,,5,170,7.88028,2.88799,2.72864,1.22496,0.203598,0.0746149,0.12898258119821548,0.264955,1.36806,0.309825,0.693075,,,4.17551,2.57805,2.69691,451.2099914550781,,,,"15038"
"Chris Sale","BOS",9,7,,3.69749,26,26,0,0,140,584,124,62,57,17,40,,10,168,10.7912,2.58382,4.17646,1.10537,0.286926,0.0687008,0.21822545677423477,0.232566,1.1763,0.306357,0.72774,,,3.37717,2.54962,2.55409,133.11000061035156,,,,"10603"
"Jon Gray","TEX",11,10,,3.95441,31,31,0,0,172,724,157,82,76,21,56,,7,174,9.09057,2.93999,3.09204,1.09664,0.24021,0.0776864,0.1625232994556427,0.237073,1.23643,0.29122,0.712703,,,3.77869,2.53323,2.03955,203.3699951171875,,,,"14916"
"Chris Bassitt","TOR",13,10,,3.82238,31,31,0,0,182,759,168,83,77,23,48,,11,163,8.06046,2.37133,3.39912,1.11694,0.21461,0.0631368,0.15147298574447632,0.240673,1.18957,0.283567,0.719654,,,3.91041,2.51118,2.52651,164.13999938964844,,,,"12304"
"Charlie Morton","ATL",10,8,,3.7428,29,29,0,0,164,695,146,74,68,19,55,,13,180,9.85501,3.00322,3.28148,1.04349,0.259077,0.0789515,0.1801259070634842,0.231874,1.21821,0.295185,0.72831,,,3.66537,2.50802,2.81547,158.11000061035156,,,,"4676"
"Nathan Eovaldi","TEX",8,8,,3.86972,28,28,0,0,152,633,148,71,65,20,34,,5,143,8.43365,2.00695,4.20222,1.18553,0.225162,0.0535816,0.17158027738332748,0.249685,1.19783,0.297345,0.724288,,,3.72326,2.46574,1.96329,240.25,,,,"9132"
"Lucas Giolito","CHW",11,10,,4.05235,31,31,0,0,178,747,161,87,80,25,57,,4,188,9.48479,2.89241,3.27921,1.28506,0.251428,0.0766736,0.17475487291812897,0.234661,1.22382,0.286763,0.720671,,,3.89824,2.42055,1.93107,140.5,,,,"15474"
"Marcus Stroman","CHC",10,10,,3.80131,31,31,0,0,172,727,174,79,73,19,47,,5,143,7.46015,2.45409,3.03989,0.985328,0.196144,0.0645235,0.13162066787481308,0.25739,1.28236,0.301637,0.728793,,,3.78756,2.40377,2.70325,261.1700134277344,,,,"13431"
"Eduardo Rodriguez","DET",9,11,,3.92523,29,29,0,0,162,690,159,77,71,18,53,,4,152,8.44798,2.9592,2.85482,1.02336,0.220337,0.0771805,0.14315637201070786,0.250856,1.30816,0.303556,0.726471,,,3.78141,2.34282,1.9806,317.80999755859375,,,,"13164"
"Freddy Peralta","MIL",8,7,,3.83459,26,26,0,0,132,552,108,60,56,17,49,,7,152,10.3619,3.37111,3.07373,1.16698,0.275023,0.0894751,0.1855473741889,0.218674,1.19667,0.279377,0.729598,,,3.77586,2.32021,2.20779,144.6199951171875,,,,"18679"
"George Kirby","SEA",8,7,,3.56707,26,26,0,0,135,555,126,58,53,16,29,,5,130,8.67292,1.92108,4.51461,1.07386,0.233762,0.0517791,0.18198340013623238,0.2415,1.14823,0.292516,0.733208,,,3.49124,2.2975,1.99897,93.70999908447266,,,,"25436"
"Joe Ryan","MIN",11,10,,4.0533,29,29,0,0,161,675,142,78,73,22,48,,9,165,9.19907,2.68072,3.43156,1.25395,0.243898,0.0710747,0.17282278090715408,0.229966,1.18013,0.277727,0.708925,,,3.94211,2.29187,1.67753,136.49000549316406,,,,"21390"
"Logan Gilbert","SEA",11,9,,3.74307,31,31,0,0,178,741,164,80,74,23,49,,6,171,8.66339,2.4622,3.51856,1.18477,0.231009,0.0656544,0.16535434126853943,0.239082,1.19569,0.286128,0.738246,,,3.82869,2.27731,2.24112,109.25,,,,"22250"
"Drew Rasmussen","TBR",11,8,,3.66832,31,31,0,0,160,665,148,71,65,18,45,,5,146,8.21669,2.54234,3.23194,1.02507,0.219689,0.0679743,0.15171422809362411,0.239724,1.2042,0.286659,0.729406,,,3.69961,2.2724,2.13798,154.3000030517578,,,,"25385"
"Andrew Heaney","TEX",8,8,,3.85213,26,26,0,0,133,553,116,61,57,19,37,,8,159,10.708,2.51201,4.26271,1.30044,0.287197,0.0673742,0.21982237696647644,0.227783,1.146,0.292291,0.727804,,,3.62217,2.25784,1.83416,219.1199951171875,,,,"15423"
"Ranger Suárez","PHI",10,8,,3.72105,28,28,0,0,153,655,148,69,63,15,54,,5,130,7.60839,3.15891,2.40855,0.902264,0.197986,0.0822015,0.11578474938869476,0.248897,1.31766,0.294882,0.73529,,,3.88318,2.21717,2.65658,345.239990234375,,,,"17277"
"Pablo López","MIN",10,9,,3.86739,29,29,0,0,167,700,154,78,72,22,47,,9,168,9.0417,2.54385,3.55434,1.17315,0.239435,0.0673641,0.17207079380750656,0.239657,1.20702,0.291697,0.722202,,,3.81415,2.21285,2.05208,163.19000244140625,,,,"17085"
"Cristian Javier","HOU",12,8,,3.86515,29,29,0,0,166,694,130,76,71,26,68,,7,204,11.0645,3.6668,3.01749,1.39379,0.293829,0.0973753,0.19645380228757858,0.210238,1.19196,0.268241,0.75227,,,4.02404,2.19969,2.32993,53.79999923706055,,,,"17606"
"Kyle Wright","ATL",13,9,,3.87537,29,29,0,0,172,730,164,80,74,19,56,,10,161,8.45715,2.92392,2.8924,1.01846,0.220857,0.0763577,0.14449960738420486,0.246974,1.28071,0.299102,0.724827,,,3.85774,2.13926,2.7092,151.32000732421875,,,,"19665"
"Robbie Ray","SEA",12,11,,3.79695,32,32,0,0,190,794,164,87,80,30,64,,6,220,10.4064,3.04186,3.42108,1.44002,0.276785,0.0809058,0.195879228413105,0.225962,1.19835,0.281125,0.762739,,,3.98978,2.12703,2.21157,89.7699966430664,,,,"11486"
"Tyler Mahle","MIN",10,9,,4.00765,29,29,0,0,161,680,147,77,72,21,53,,7,161,8.98968,2.97919,3.01749,1.15596,0.236125,0.078252,0.15787260234355927,0.237462,1.24666,0.288495,0.717799,,,3.90721,2.12541,1.77564,239.32000732421875,,,,"16358"
"Jameson Taillon","CHC",9,10,,4.20467,31,31,0,0,172,726,172,86,80,25,42,,6,147,7.66454,2.21082,3.46684,1.29114,0.202161,0.0583127,0.14384786039590836,0.254527,1.24614,0.291932,0.712122,,,4.11947,2.09157,1.96349,245.74000549316406,,,,"11674"
"Jeffrey Springs","TBR",10,7,,3.58329,28,28,0,0,144,598,130,62,57,19,42,,3,152,9.47744,2.62764,3.60683,1.20945,0.254052,0.0704365,0.18361592292785645,0.2343,1.1902,0.288653,0.756704,,,3.68716,2.07491,2.14009,151.4600067138672,,,,"17677"
"Sonny Gray","MIN",9,8,,3.90872,28,28,0,0,142,603,130,67,62,16,50,,7,139,8.77568,3.13703,2.79744,1.04178,0.229572,0.0820649,0.14750715345144272,0.236835,1.26075,0.288485,0.720062,,,3.85437,2.05684,1.66664,209.9499969482422,,,,"12768"
"Jesús Luzardo","MIA",8,9,,3.89308,28,28,0,0,149,627,130,70,64,18,55,,6,161,9.76185,3.32653,2.93454,1.10005,0.257097,0.0876105,0.1694861203432083,0.229306,1.2431,0.288682,0.722392,,,3.76087,2.05164,1.98868,144.11000061035156,,,,"19959"
"Luis Severino","NYY",9,5,,3.56823,24,24,0,0,131,540,111,56,52,16,39,,6,140,9.6393,2.70101,3.56878,1.09034,0.259068,0.0725929,0.18647518754005432,0.224004,1.14914,0.280163,0.736438,,,3.57712,2.02797,2.12099,115.94999694824219,,,,"15890"
"Roansy Contreras","PIT",7,8,,4.18298,28,28,0,0,144,614,134,72,67,20,52,,4,141,8.79697,3.22628,2.72666,1.23796,0.229493,0.0841661,0.14532668888568878,0.240227,1.28817,0.287522,0.720298,,,4.11295,1.98886,1.64645,298.1700134277344,,,,"22810"
"Miles Mikolas","STL",12,11,,3.92676,31,31,0,0,187,783,189,88,82,25,41,,8,140,6.73026,1.95478,3.44298,1.1919,0.178549,0.051859,0.12669047713279724,0.257,1.22695,0.287763,0.725212,,,4.11613,1.9867,2.45751,228.11000061035156,,,,"9803"
"Emmanuel Clase","CLE",5,2,,2.51317,70,0,35,1,70,279,55,21,20,4,18,,2,77,9.83657,2.27821,4.31767,0.514341,0.274241,0.063516,0.21072518825531006,0.213712,1.04592,0.287415,0.767285,,,2.49682,1.95362,2.24621,28.229999542236328,,,,"21032"
"Merrill Kelly","ARI",11,12,,4.27229,32,32,0,0,196,832,198,100,93,28,58,,4,168,7.70311,2.67753,2.87694,1.27247,0.20134,0.0699841,0.13135627657175064,0.256565,1.30663,0.295559,0.717081,,,4.19207,1.92212,2.21535,243.4499969482422,,,,"11156"
"Dustin May","LAD",8,5,,3.60769,33,21,0,1,120,501,105,52,48,14,37,,8,129,9.67375,2.80322,3.45094,1.04738,0.257426,0.0745957,0.18282997608184814,0.229538,1.18231,0.289883,0.731404,,,3.62014,1.91858,1.89932,158.47999572753906,,,,"19716"
"Sean Manaea","SFG",9,9,,4.10529,28,28,0,0,154,656,154,76,70,21,44,,6,150,8.74411,2.56674,3.40671,1.19633,0.228786,0.0671576,0.16162867099046707,0.254518,1.28405,0.307067,0.721204,,,3.86372,1.90061,1.73519,284,,,,"15873"
"José Berríos","TOR",10,10,,4.27378,31,31,0,0,176,745,173,91,84,27,45,,10,160,8.17016,2.2994,3.55317,1.36363,0.214632,0.0604056,0.15422596037387848,0.250192,1.2357,0.289903,0.705268,,,4.20164,1.88876,1.31395,235.8300018310547,,,,"14168"
"Justin Steele","CHC",8,7,,3.77516,26,26,0,0,137,586,125,62,58,14,56,,6,134,8.80829,3.69926,2.38109,0.914372,0.229232,0.0962715,0.13296010345220566,0.238397,1.3204,0.29543,0.735961,,,3.84062,1.88698,2.25325,290.6099853515625,,,,"17312"
"Tyler Anderson","LAA",10,11,,4.32279,31,31,0,0,184,778,189,95,88,30,44,,6,147,7.19762,2.15212,3.34444,1.45084,0.188975,0.0565042,0.13247059658169746,0.259962,1.26864,0.289504,0.720018,,,4.42378,1.86503,1.66325,273.9800109863281,,,,"12880"
"Triston McKenzie","CLE",8,7,,3.84156,21,21,0,0,129,530,114,59,55,20,35,,4,131,9.17452,2.41748,3.79508,1.37429,0.247416,0.0651938,0.18222197145223618,0.231112,1.15204,0.275702,0.740361,,,3.95157,1.84382,1.82737,96.44000244140625,,,,"18000"
"Noah Syndergaard","LAD",11,9,,4.26714,28,28,0,0,158,674,166,81,75,22,38,,5,122,6.94294,2.16127,3.21244,1.25079,0.181415,0.0564725,0.1249421201646328,0.264011,1.29071,0.297048,0.711412,,,4.19551,1.83547,1.43715,294.510009765625,,,,"11762"
"Lance McCullers Jr.","HOU",9,6,,3.62234,23,23,0,0,129,547,112,56,52,13,53,,6,132,9.24069,3.72708,2.47934,0.891565,0.241429,0.0973763,0.14405234903097153,0.230377,1.28684,0.290584,0.741232,,,3.74038,1.82172,2.14586,330.79998779296875,,,,"14120"
"Martín Pérez","TEX",10,11,,4.14425,31,31,0,0,181,785,183,91,84,21,63,,7,150,7.45644,3.13217,2.3806,1.04022,0.191428,0.0804119,0.11101655662059784,0.256138,1.35734,0.298266,0.71719,,,4.12021,1.81139,1.65168,315.9200134277344,,,,"6902"
"Josh Hader","SDP",5,2,,2.82256,66,0,32,1,66,265,42,22,21,8,24,,3,101,13.7756,3.32307,4.14544,1.03413,0.381907,0.0921269,0.28977975994348526,0.177781,1.00743,0.269146,0.795017,,,2.79906,1.8104,1.79904,38.04999923706055,,,,"14212"
"Luis Garcia","HOU",11,9,,4.10304,28,28,0,0,156,652,144,76,71,23,49,,3,154,8.92681,2.81411,3.17216,1.34745,0.236725,0.0746258,0.16209951788187027,0.239187,1.23559,0.284581,0.725942,,,4.06924,1.80907,1.69933,155.14999389648438,,,,"23735"
"Mitch Keller","PIT",8,10,,4.37277,29,29,0,0,160,697,162,84,78,18,60,,10,141,7.93645,3.40668,2.32968,1.00585,0.20185,0.086643,0.11520702391862869,0.258508,1.39426,0.307932,0.700664,,,4.1202,1.80053,1.42172,351.1700134277344,,,,"17594"
"Zach Eflin","TBR",10,7,,3.77611,26,26,0,0,144,601,140,65,61,18,32,,6,124,7.72266,2.01063,3.84092,1.11317,0.206027,0.0536401,0.15238738805055618,0.249135,1.19534,0.290549,0.726023,,,3.79505,1.79547,1.80132,270.6700134277344,,,,"13774"
"Reid Detmers","LAA",8,8,,4.17134,26,26,0,0,136,580,124,68,63,20,49,,7,142,9.39008,3.21074,2.92458,1.30218,0.245492,0.0839408,0.16155094653367996,0.236922,1.26721,0.288444,0.721179,,,4.1281,1.76846,1.45472,181.75,,,,"27468"
"Corey Kluber","BOS",9,9,,4.64901,28,28,0,0,148,641,160,82,76,22,36,,9,126,7.67142,2.19819,3.48989,1.34085,0.196848,0.0564054,0.14044292643666267,0.269442,1.32865,0.309407,0.691278,,,4.26092,1.67336,1.04459,393.0199890136719,,,,"2429"
"Graham Ashcraft","CIN",8,10,,4.47677,28,28,0,0,149,651,158,80,74,18,52,,9,117,7.09794,3.17868,2.23298,1.08951,0.180054,0.0806337,0.09942007064819336,0.268199,1.41709,0.30841,0.703736,,,4.34876,1.64131,1.71897,446.6099853515625,,,,"27552"
"Andrés Muñoz","SEA",4,3,,2.59488,65,0,10,10,65,261,42,21,19,6,23,,4,97,13.424,3.12141,4.30061,0.767407,0.371459,0.0863735,0.2850855737924576,0.18142,1.00034,0.280562,0.774491,,,2.47738,1.63777,1.55404,142.02000427246094,,,,"20373"
"Taijuan Walker","PHI",9,9,,4.44316,29,29,0,0,160,683,161,85,79,24,49,,6,131,7.39824,2.76715,2.6736,1.33018,0.192136,0.0718644,0.12027204036712646,0.256127,1.31483,0.290077,0.704803,,,4.42557,1.6108,1.45114,315.6700134277344,,,,"11836"
"Brayan Bello","BOS",8,7,,3.92352,25,19,0,1,109,467,105,52,47,11,41,,3,109,9.03572,3.41967,2.64228,0.872568,0.233889,0.0885178,0.1453709825873375,0.248812,1.34546,0.312482,0.719514,,,3.60109,1.60969,1.53103,393.1400146484375,,,,"23920"
"Matthew Boyd","DET",8,10,,4.18377,26,26,0,0,148,628,140,74,69,21,46,,8,148,8.96834,2.77737,3.22907,1.30192,0.234906,0.0727471,0.16215849667787552,0.243829,1.25496,0.29258,0.719542,,,4.08236,1.53219,1.41881,376.07000732421875,,,,"15440"
"Dean Kremer","BAL",9,8,,4.01029,26,26,0,0,145,614,144,69,64,17,41,,6,113,7.04767,2.57658,2.73529,1.07789,0.18448,0.0674446,0.11703559011220932,0.253526,1.27895,0.28975,0.720551,,,4.09119,1.53048,1.70047,495.75,,,,"19350"
"Steven Matz","STL",9,8,,3.75146,35,23,0,1,129,539,122,58,54,17,36,,5,123,8.59559,2.53581,3.38968,1.17195,0.22776,0.0671922,0.16056802868843081,0.244992,1.23026,0.293683,0.744338,,,3.86026,1.52164,1.79311,319.29998779296875,,,,"13361"
"Aaron Civale","CLE",8,8,,4.1892,26,26,0,0,140,589,135,70,65,20,37,,6,126,8.10476,2.3565,3.43932,1.30284,0.214275,0.0623017,0.15197356417775154,0.246841,1.22325,0.286587,0.706471,,,4.11662,1.50998,1.34249,308.44000244140625,,,,"19479"
"José Suarez","LAA",9,9,,4.25659,26,26,0,0,141,605,136,72,67,19,49,,8,128,8.14359,3.10954,2.6189,1.21181,0.211236,0.0806584,0.13057784736156464,0.248289,1.30983,0.291689,0.714359,,,4.25219,1.50962,1.35456,370.8699951171875,,,,"19911"
"Trevor Rogers","MIA",7,9,,3.99339,33,23,0,1,125,530,116,60,56,16,43,,5,129,9.25709,3.08143,3.00415,1.11616,0.242988,0.0808842,0.16210419684648514,0.240569,1.26845,0.297396,0.719079,,,3.81796,1.50361,1.42601,230.42999267578125,,,,"22286"
"Grayson Rodriguez","BAL",7,6,,3.88687,23,23,0,0,113,473,99,53,49,16,36,,6,126,10.0112,2.89487,3.45826,1.25211,0.265628,0.0768096,0.18881800025701523,0.230213,1.20029,0.288292,0.729144,,,3.80937,1.48824,1.40202,999,,,,"sa3008130"
"Alex Wood","SFG",8,7,,3.66044,54,16,0,1,124,520,116,55,50,13,31,,10,124,9.02687,2.22669,4.05395,0.930189,0.239194,0.0590028,0.18019157275557518,0.241911,1.18207,0.301491,0.712432,,,3.43864,1.47864,1.49656,343.6400146484375,,,,"13781"
