Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP,playerid
Trevor Larnach,,39,168,148,34,7,0,5,18,18,15,54,3,1,0,0.227,0.309,0.386,0.695,0.303,-0.5,-0.2,0.1,581.6,21501
Korey Lee,HOU,6,26,24,6,1,0,1,3,3,2,5,0,0,0,0.24,0.292,0.375,0.668,0.289,0.1,0,0.1,999,sa3010034
Matt Thaiss,,8,33,29,7,1,0,1,4,4,4,8,0,0,0,0.227,0.314,0.394,0.709,0.308,-0.1,0,0.1,599.2,19318
Romy Gonzalez,,8,35,32,7,1,0,1,4,4,2,10,0,1,0,0.231,0.289,0.406,0.695,0.299,0,0,0.1,999,21562
Brian Goodwin,,52,224,199,45,10,1,7,26,25,21,62,1,3,1,0.225,0.303,0.387,0.69,0.3,-2.2,-0.3,0.1,600.6,12858
Pablo Reyes,MIL,10,42,38,9,2,0,1,5,5,3,9,0,1,0,0.237,0.3,0.388,0.688,0.298,0.2,0,0.1,999,16357
Chris Owings,,34,147,133,28,6,1,4,15,14,11,46,1,3,2,0.209,0.276,0.36,0.636,0.276,0.5,-0.1,0.1,600.9,10030
Ryan Kreidler,DET,6,28,25,6,1,0,1,3,3,2,8,0,1,0,0.236,0.298,0.382,0.68,0.295,0.1,0,0.1,999,sa3010587
Connor Wong,,6,26,24,6,1,0,1,3,3,1,8,0,0,0,0.236,0.283,0.423,0.705,0.301,-0.1,0,0.1,999,19896
Jacob Nottingham,BAL,16,64,57,11,2,0,2,7,8,4,22,1,1,0,0.197,0.269,0.364,0.633,0.275,-0.3,0,0.1,600.5,16448
Rylan Bannon,,8,35,31,7,1,0,1,4,4,3,8,0,1,0,0.215,0.298,0.398,0.696,0.302,0,0,0.1,600.3,sa3004162
Jake Marisnick,,11,49,45,10,2,0,1,6,5,3,15,1,1,0,0.227,0.286,0.395,0.681,0.294,0,0,0.1,999,11339
Donovan Walton,SEA,5,21,19,5,1,0,1,3,2,2,3,0,0,0,0.251,0.323,0.394,0.717,0.312,-0.1,-0.1,0.1,999,19314
Austin Romine,,13,51,48,11,2,0,1,5,6,2,14,0,0,0,0.238,0.273,0.374,0.647,0.279,-0.1,-0.1,0.1,999,5491
José Godoy,MIN,8,32,29,7,1,0,1,4,3,2,7,0,0,0,0.243,0.297,0.358,0.656,0.287,0,0,0.1,999,15808
Emmanuel Rivera,KCR,21,91,84,21,4,0,3,10,10,5,18,1,1,0,0.251,0.297,0.402,0.7,0.301,0,0,0.1,999,19890
Vimael Machín,,10,42,37,8,2,0,1,5,4,4,8,0,0,0,0.229,0.314,0.343,0.657,0.289,-0.1,0,0.1,999,17684
Shea Langeliers,OAK,3,13,12,3,0,0,1,1,2,1,3,0,0,0,0.229,0.289,0.422,0.711,0.303,0.1,0,0.1,999,sa3010329
José Peraza,NYY,10,42,39,10,2,0,1,5,4,2,6,1,1,0,0.251,0.298,0.377,0.675,0.293,-0.2,0,0.1,600.8,13593
Billy McKinney,,11,49,43,9,2,0,2,6,5,5,13,0,0,0,0.217,0.298,0.403,0.702,0.303,0.2,-0.1,0.1,599.2,15654
Miguel Andújar,NYY,10,42,39,10,2,0,2,5,5,2,7,0,0,0,0.267,0.306,0.461,0.766,0.326,-0.4,-0.1,0.1,598,15878
Taylor Jones,HOU,6,28,25,6,1,0,1,3,3,3,7,0,0,0,0.244,0.318,0.42,0.738,0.318,0.1,0,0.1,999,19533
Gosuke Katoh,TOR,16,70,62,14,3,0,1,8,6,6,18,0,1,1,0.229,0.305,0.352,0.656,0.29,0,-0.1,0.1,999,sa737619
Carlos Pérez,COL,5,19,18,4,1,0,1,2,3,1,3,0,0,0,0.242,0.294,0.434,0.727,0.31,0.2,0,0.1,999,10642
Derek Hill,DET,24,105,96,23,3,1,2,11,10,6,31,1,3,1,0.236,0.29,0.365,0.655,0.285,-0.5,-0.1,0.1,999,16947
Luke Raley,TBR,6,28,25,6,1,0,1,3,3,2,8,1,0,0,0.228,0.299,0.405,0.704,0.304,0.2,0,0.1,601,19354
TJ Friedl,,8,35,31,8,1,0,1,4,3,3,6,1,1,0,0.25,0.329,0.401,0.729,0.318,-0.2,0,0.1,600.8,19522
Patrick Mazeika,,6,26,23,5,1,0,1,3,3,2,5,0,0,0,0.224,0.288,0.37,0.658,0.286,-0.2,0,0.1,999,18142
Ali Sánchez,,8,32,30,7,1,0,0,3,3,2,6,0,0,0,0.238,0.283,0.33,0.614,0.269,0.2,-0.1,0.1,999,18551
Jake Burger,,3,14,13,3,1,0,1,2,2,1,3,0,0,0,0.251,0.313,0.437,0.75,0.322,0,0,0.1,597.4,22275
Estevan Florial,,8,35,31,7,1,0,1,4,4,3,11,0,1,0,0.215,0.288,0.384,0.672,0.292,0,0,0.1,600.9,19151
Heliot Ramos,,24,105,96,23,5,0,3,12,10,7,30,1,2,1,0.235,0.292,0.38,0.672,0.292,-0.8,0,0.1,999,sa3004693
Eric Sogard,,23,98,89,22,4,0,1,10,8,7,16,1,1,0,0.245,0.302,0.346,0.648,0.283,-0.2,0,0.1,999,7927
