Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Bryan Reynolds","PIT",149,644,566,152,94,30,4,24,90,80,61,3,139,9,5,4,,9,4,0.268949,0.0943,0.216031,0.436512,0.346695,0.464364,0.347872,0.811059,0.195414,5.11077,0.314531,0.216,-0.948802,94.2441,15.7765,116.947,-0.732802,-1.32675,12.787561595439911,-8.026749849319458,2.66193,999,,,,"19326"
"Zach Neto","LAA",141,609,543,136,85,29,1,20,75,71,41,1,136,15,5,5,,11,4,0.250497,0.0673001,0.223709,0.300838,0.318307,0.419683,0.320075,0.73799,0.169186,4.46712,0.296257,-0.114,-0.460471,75.063,0.859869,100.978,-0.574471,-1.223,0.13951140642166138,5.302000045776367,2.6059,999,,,,"31347"
"Cody Bellinger",,152,658,592,152,93,30,2,27,82,89,54,2,137,5,5,3,,19,6,0.256595,0.082,0.208761,0.392793,0.321147,0.449782,0.330331,0.770929,0.193187,4.91646,0.289391,0.640591,0.00776954,86.7075,6.53398,108.327,0.648361,-2.06593,7.324586391448975,-3.615931987762451,2.60184,999,,,,"15998"
"Vinnie Pasquantino","KCR",136,588,512,141,85,31,2,24,79,84,65,4,80,6,4,1,,2,1,0.276217,0.111,0.136364,0.814,0.362045,0.483639,0.361967,0.845685,0.207423,2.76701,0.285105,-0.996,-1.16028,92.9319,21.2875,127.751,-2.15628,0.446714,17.39560294151306,-11.303285747766495,2.59965,999,,,,"27676"
"Kyle Schwarber","PHI",156,672,553,124,62,20,2,41,104,89,102,4,194,7,4,6,,6,2,0.223985,0.1525,0.288169,0.529204,0.349739,0.486248,0.357138,0.835986,0.262262,3.91458,0.257678,-1.15603,-0.99623,103.513,21.6335,124.025,-2.15226,-0.40014,17.848795175552368,-15.300140589475632,2.53644,999,,,,"16478"
"Ke'Bryan Hayes","PIT",141,609,553,147,95,31,5,16,73,73,46,1,125,4,5,2,,17,6,0.266682,0.0760999,0.204809,0.371566,0.325085,0.429336,0.325535,0.754422,0.162654,5.64067,0.315131,-0.031,-0.270566,77.8246,3.62151,101.972,-0.301566,1.6277,1.186459869146347,3.4027011394500732,2.52595,999,,,,"18577"
"Josh Jung","TEX",152,658,602,152,91,30,2,28,80,92,41,0,187,7,5,2,,4,2,0.251828,0.0628001,0.284695,0.220587,0.305156,0.449463,0.322889,0.754619,0.197636,3.56259,0.314733,-1.25479,-1.06606,82.6407,2.46719,102.432,-2.32084,1.59902,-0.40363025665283203,3.349015712738037,2.523,999,,,,"26299"
"Willson Contreras","STL",123,493,426,107,64,22,1,21,65,67,48,0,113,13,4,2,,5,3,0.251987,0.0968001,0.228508,0.423618,0.342891,0.453699,0.345015,0.79659,0.201712,3.72455,0.292188,-0.822218,-0.981937,70.9766,10.9074,118.762,-1.80416,-0.427568,9.655000925064087,5.7724317610263824,2.5107,999,,,,"11609"
"Yainer Diaz","HOU",110,441,411,112,68,22,1,22,56,66,20,0,83,4,3,2,,1,1,0.273048,0.0460001,0.189064,0.243305,0.311998,0.489284,0.340121,0.801281,0.216236,2.88696,0.292676,-0.672863,-0.680945,61.6418,7.95724,117.645,-1.35381,0.17285,7.961651682853699,6.022850006818771,2.48279,999,,,,"23003"
"Jeff McNeil","NYM",144,623,562,162,115,33,3,12,76,68,41,0,70,12,5,3,,6,2,0.288668,0.0662,0.112052,0.590798,0.348164,0.418538,0.334746,0.766703,0.12987,4.14854,0.310548,-0.853,-1.13255,84.3795,8.4706,114.099,-1.98555,-2.05337,8.896424531936646,-5.278371095657349,2.47666,999,,,,"15362"
"Anthony Rendon","LAA",133,574,492,126,80,28,1,17,70,69,67,1,103,8,5,2,,4,2,0.256415,0.1175,0.180312,0.651648,0.352414,0.422873,0.339248,0.775287,0.166458,3.24301,0.289946,0.056,-1.10561,79.8891,9.95052,114.268,-1.04961,-3.08683,8.763403296470642,-3.436829090118408,2.47586,999,,,,"12861"
"Nolan Gorman","STL",118,511,451,111,64,20,1,27,66,74,50,1,147,4,4,2,,6,2,0.245888,0.0978001,0.286758,0.341054,0.324217,0.470273,0.340013,0.79449,0.224385,3.36895,0.298997,0.029,-0.738511,71.4456,9.18324,115.41,-0.709511,-2.30645,9.045626640319824,-1.6814519762992859,2.46983,999,,,,"22263"
"Jorge Polanco","MIN",141,609,535,134,84,28,1,21,74,76,63,1,138,5,5,1,,6,3,0.250112,0.1035,0.226437,0.457081,0.332025,0.423415,0.328423,0.755439,0.173303,3.55728,0.296449,0.516,-1.0596,79.2853,5.08216,109.977,-0.5436,-4.863,6.736697793006897,-2.687999963760376,2.46701,999,,,,"13152"
"Christian Walker","ARI",154,665,587,150,87,31,2,30,86,99,65,3,137,7,5,1,,6,2,0.255816,0.0975,0.206337,0.472527,0.334934,0.468256,0.343715,0.80319,0.212439,3.69281,0.283196,0.358074,-1.06534,95.0214,13.995,115.328,-0.707262,1.74766,11.920408129692078,-10.227344393730164,2.42735,999,,,,"13419"
"Max Kepler","MIN",133,574,502,126,75,25,2,23,72,76,59,1,114,6,4,2,,4,2,0.25003,0.1025,0.198196,0.517166,0.333485,0.44593,0.336571,0.779414,0.195899,3.48282,0.277338,-0.196,-0.998445,78.6131,8.67457,115.625,-1.19444,1.326,9.551938891410828,-4.824000120162964,2.41616,999,,,,"12144"
"Luis Rengifo","LAA",141,609,549,143,94,24,4,21,79,69,45,1,108,7,4,5,,10,4,0.260715,0.0733,0.176613,0.415032,0.321765,0.434557,0.326186,0.756322,0.173842,5.03181,0.287517,0.707,-0.834077,78.1537,3.95057,105.214,-0.127077,-2.478,3.6776090413331985,-0.30299997329711914,2.39979,999,,,,"19858"
"Taylor Ward","LAA",138,595,521,137,86,28,1,22,77,77,60,0,126,8,4,2,,6,3,0.263278,0.1004,0.212484,0.472505,0.346055,0.448929,0.344645,0.794984,0.185651,3.60951,0.305856,0.174,-1.07807,85.479,12.9817,118.009,-0.904068,-1.61411,11.935066223144531,-8.239105939865112,2.3844,999,,,,"17548"
"Cedric Mullins","BAL",141,609,545,136,87,28,3,19,74,68,51,1,124,6,4,3,,28,8,0.249716,0.0834,0.203992,0.40884,0.318485,0.414403,0.317586,0.732888,0.164688,5.84464,0.289026,0.299,1.02074,73.804,-0.399123,103.472,1.31974,-3.339,3.8533785343170166,-1.1640000343322754,2.33146,999,,,,"17929"
"Byron Buxton","MIN",126,546,485,113,56,26,2,28,70,76,47,2,162,8,4,2,,10,3,0.231901,0.0862001,0.297296,0.289947,0.307581,0.46944,0.330393,0.777022,0.237539,4.89695,0.282367,0.9,-0.201871,71.9767,5.44982,111.343,0.698129,0.886974,8.118695557117462,-3.363025665283203,2.32406,999,,,,"14161"
"Max Muncy","LAD",128,553,460,104,57,19,1,27,75,79,81,3,140,7,4,1,,2,1,0.226898,0.1462,0.253242,0.577313,0.347755,0.448771,0.344495,0.796526,0.221873,2.90506,0.260279,0.195,-1.06362,79.3761,11.9963,118.456,-0.868619,-8.58891,11.775232434272766,-7.313911080360413,2.32301,999,,,,"13301"
"Nathaniel Lowe","TEX",157,679,590,158,102,30,2,23,83,85,78,2,156,5,5,2,,3,1,0.267513,0.1144,0.230154,0.49706,0.354761,0.443686,0.346122,0.798447,0.176172,3.03277,0.324274,-1.82178,-1.31736,98.3792,15.647,118.535,-3.13914,0.212663,11.940325498580933,-11.912337198853493,2.30323,999,,,,"19566"
"Gavin Lux","LAD",122,525,461,123,83,23,4,12,67,60,53,1,104,4,4,4,,11,3,0.267002,0.1,0.197339,0.506743,0.343974,0.415695,0.331393,0.759669,0.148693,5.38209,0.317363,0.622,-0.395662,69.6445,5.67635,109.673,0.226338,-6.2752,6.517493903636932,-1.5002002716064453,2.28335,999,,,,"19955"
"James Outman","LAD",128,553,478,110,66,20,3,21,67,67,60,1,174,9,4,3,,10,4,0.229953,0.1079,0.314728,0.342836,0.324169,0.413474,0.321777,0.737643,0.18352,4.88913,0.310751,0.742,-0.647238,68.9425,1.56265,103.226,0.0947621,0.515,2.3049991205334663,1.6899999380111694,2.27651,999,,,,"24770"
"Bo Naylor","CLE",97,386,327,75,44,16,1,14,46,45,51,2,90,4,3,2,,6,2,0.229967,0.131,0.232766,0.562796,0.337418,0.417048,0.328657,0.754466,0.18708,3.96576,0.269769,0.270684,-0.521172,50.3804,3.2998,110.954,-0.250488,-3.41211,4.821168690919876,2.8878896236419678,2.26988,999,,,,"21865"
"Alek Thomas","ARI",136,588,536,140,91,28,6,15,67,70,39,1,113,6,5,3,,10,4,0.260898,0.0657001,0.192141,0.341936,0.315,0.419789,0.316553,0.73479,0.158891,5.37468,0.302121,1.181,-0.863366,70.7547,-0.889667,97.1189,0.317634,2.415,-1.781050443649292,4.514999866485596,2.26963,999,,,,"23792"
"Jazz Chisholm Jr.","MIA",138,595,537,132,78,23,4,27,76,82,47,0,167,5,4,2,,27,10,0.2456,0.0783999,0.280942,0.279061,0.309913,0.454656,0.327273,0.764569,0.209056,6.29217,0.301747,0.686,0.30254,76.8945,4.39718,104.082,0.98854,-3.634,3.997494697570801,-1.5090000629425049,2.26893,999,,,,"20454"
"Zack Gelof","OAK",138,595,531,126,76,28,2,20,73,64,51,1,168,5,4,4,,19,7,0.237941,0.0861,0.282967,0.304276,0.308404,0.410478,0.311134,0.718882,0.172537,5.16133,0.306452,0.647,-0.324067,68.9192,-3.57812,101.339,0.322933,0.113882,1.2778494954109192,1.2388823553919792,2.26681,999,,,,"29766"
"Seiya Suzuki","CHC",139,602,528,140,87,26,3,23,76,83,63,4,138,5,4,1,,9,5,0.264253,0.1052,0.228969,0.459451,0.345869,0.459005,0.345335,0.804874,0.194753,4.43145,0.31326,-0.473,-1.40966,86.8296,13.4794,117.605,-1.88266,-0.295221,11.246860980987549,-9.045220911502838,2.26409,999,,,,"30116"
"Amed Rosario",,136,588,546,150,107,26,6,11,70,62,30,0,104,5,4,3,,14,5,0.275438,0.051,0.177217,0.287782,0.316425,0.405214,0.312472,0.721639,0.129776,5.97896,0.320805,0.216,-0.20122,68.7619,-2.88243,96.1545,0.0147801,1.757,-2.7405337439849973,5.35699987411499,2.25548,999,,,,"15518"
"Yoán Moncada","CHW",144,623,554,139,89,29,1,18,69,73,57,1,170,6,4,1,,3,1,0.250195,0.0918,0.272135,0.337332,0.32494,0.407456,0.318913,0.732396,0.157262,2.85811,0.324793,0.261,-1.11699,76.1872,0.278277,101.091,-0.855995,0.510607,-0.04123806953430176,1.4856067299842834,2.25475,999,,,,"17232"
"Ty France","SEA",149,644,571,154,102,31,1,19,76,78,45,1,112,22,5,2,,1,0,0.268988,0.0692999,0.17375,0.398848,0.342839,0.426527,0.335578,0.769366,0.157539,2.30211,0.302723,-1.728,-1.29411,87.6689,9.20126,117.925,-3.02211,2.01192,10.809849739074707,-10.138075590133667,2.24885,999,,,,"17982"
"Evan Carter","TEX",141,609,523,131,85,25,4,17,74,73,74,2,155,7,4,1,,15,7,0.25032,0.1215,0.254308,0.477767,0.348114,0.409108,0.331476,0.757222,0.158788,5.20682,0.321168,-0.169,-1.22604,80.8293,6.62619,108.383,-1.39504,2.808,4.7221351861953735,-3.116999626159668,2.22334,999,,,,"27790"
