"game_pk","officialDate","gameNumber","doubleHeader","away_team_name","home_team_name","VisitorRunsScored","HomeRunsScored","F5_VisitorRunsScored","F5_HomeRunsScored"
662966,"2022-04-16",1,"N","Chicago Cubs","Colorado Rockies",6,9,1,8
662206,"2022-04-16",1,"N","Houston Astros","Seattle Mariners",4,0,3,0
662619,"2022-04-16",1,"N","Cincinnati Reds","Los Angeles Dodgers",2,5,0,0
663365,"2022-04-17",1,"N","New York Yankees","Baltimore Orioles",0,5,0,0
662294,"2022-04-17",1,"N","Washington Nationals","Pittsburgh Pirates",3,5,3,0
663308,"2022-04-17",1,"N","Minnesota Twins","Boston Red Sox",1,8,0,0
661804,"2022-04-17",1,"N","Oakland Athletics","Toronto Blue Jays",3,4,2,4
662625,"2022-04-17",1,"N","Arizona Diamondbacks","New York Mets",0,5,0,0
663132,"2022-04-17",1,"N","San Francisco Giants","Cleveland Guardians",8,1,4,0
661415,"2022-04-17",1,"N","Philadelphia Phillies","Miami Marlins",3,11,1,7
661462,"2022-04-17",1,"N","Tampa Bay Rays","Chicago White Sox",9,3,4,2
661226,"2022-04-17",1,"N","St. Louis Cardinals","Milwaukee Brewers",5,6,3,4
662038,"2022-04-17",1,"N","Los Angeles Angels","Texas Rangers",8,3,4,3
662930,"2022-04-17",1,"N","Chicago Cubs","Colorado Rockies",6,4,5,0
662618,"2022-04-17",1,"N","Cincinnati Reds","Los Angeles Dodgers",1,9,0,7
662174,"2022-04-17",1,"N","Houston Astros","Seattle Mariners",2,7,0,6
662234,"2022-04-17",1,"N","Atlanta Braves","San Diego Padres",1,2,0,2
663236,"2022-04-18",1,"N","Minnesota Twins","Boston Red Sox",8,3,4,1
663197,"2022-04-18",1,"N","Tampa Bay Rays","Chicago Cubs",2,4,2,2
661242,"2022-04-18",1,"N","Pittsburgh Pirates","Milwaukee Brewers",1,6,1,6
662928,"2022-04-18",1,"N","Los Angeles Angels","Houston Astros",3,8,2,4
662929,"2022-04-18",1,"N","Philadelphia Phillies","Colorado Rockies",1,4,0,0
662407,"2022-04-18",1,"N","Baltimore Orioles","Oakland Athletics",1,5,1,1
662233,"2022-04-18",1,"N","Cincinnati Reds","San Diego Padres",1,4,1,3
662617,"2022-04-18",1,"N","Atlanta Braves","Los Angeles Dodgers",4,7,1,6
662587,"2022-04-19",1,"S","Arizona Diamondbacks","Washington Nationals",1,6,1,2
662583,"2022-04-19",2,"S","Arizona Diamondbacks","Washington Nationals",0,1,0,0
662350,"2022-04-19",1,"Y","San Francisco Giants","New York Mets",4,5,4,4
662616,"2022-04-19",2,"Y","San Francisco Giants","New York Mets",1,3,0,3
661405,"2022-04-19",1,"N","St. Louis Cardinals","Miami Marlins",5,1,5,0
662896,"2022-04-19",1,"N","New York Yankees","Detroit Tigers",4,2,3,2
663249,"2022-04-19",1,"N","Toronto Blue Jays","Boston Red Sox",1,2,1,1
663196,"2022-04-19",1,"N","Tampa Bay Rays","Chicago Cubs",6,5,4,3
661211,"2022-04-19",1,"N","Pittsburgh Pirates","Milwaukee Brewers",2,5,0,4
662927,"2022-04-19",1,"N","Los Angeles Angels","Houston Astros",7,2,7,1
662753,"2022-04-19",1,"N","Minnesota Twins","Kansas City Royals",3,4,3,2
662925,"2022-04-19",1,"N","Philadelphia Phillies","Colorado Rockies",5,6,2,3
662406,"2022-04-19",1,"N","Baltimore Orioles","Oakland Athletics",1,2,1,0
662232,"2022-04-19",1,"N","Cincinnati Reds","San Diego Padres",2,6,1,5
662161,"2022-04-19",1,"N","Texas Rangers","Seattle Mariners",2,6,2,4
662717,"2022-04-19",1,"N","Atlanta Braves","Los Angeles Dodgers",3,1,3,0
661203,"2022-04-20",1,"N","Pittsburgh Pirates","Milwaukee Brewers",2,4,0,1
663094,"2022-04-20",1,"Y","Chicago White Sox","Cleveland Guardians",1,11,0,10
663075,"2022-04-20",2,"Y","Chicago White Sox","Cleveland Guardians",1,2,1,2
662924,"2022-04-20",1,"N","Philadelphia Phillies","Colorado Rockies",9,6,3,4
662734,"2022-04-20",1,"N","Atlanta Braves","Los Angeles Dodgers",1,5,0,3
662231,"2022-04-20",1,"N","Cincinnati Reds","San Diego Padres",0,6,0,3
662392,"2022-04-20",1,"N","Baltimore Orioles","Oakland Athletics",1,0,1,0
663146,"2022-04-20",1,"N","Tampa Bay Rays","Chicago Cubs",8,2,8,2
662926,"2022-04-20",1,"N","Los Angeles Angels","Houston Astros",6,0,6,0
661404,"2022-04-20",1,"N","St. Louis Cardinals","Miami Marlins",2,0,0,0
662861,"2022-04-20",1,"N","New York Yankees","Detroit Tigers",5,3,2,1
662560,"2022-04-20",1,"N","Arizona Diamondbacks","Washington Nationals",11,2,11,0
662349,"2022-04-20",1,"N","San Francisco Giants","New York Mets",5,2,5,0
663247,"2022-04-20",1,"N","Toronto Blue Jays","Boston Red Sox",6,1,5,1
662703,"2022-04-20",1,"N","Minnesota Twins","Kansas City Royals",0,2,0,2
662178,"2022-04-20",1,"N","Texas Rangers","Seattle Mariners",2,4,0,4
662593,"2022-04-21",1,"N","San Francisco Giants","New York Mets",2,6,1,5
663093,"2022-04-21",1,"N","Chicago White Sox","Cleveland Guardians",3,6,1,3
