gamedate,AwayTeam,AwaySP,HomeTeam,HomeSP,bet_type,AO.Odds,AO.SpreadTotal,HU.Odds,HU.SpreadTotal,AwayRunsProj,HomeRunsProj,AO_ImpliedOdds,HU_ImpliedOdds,AO_ProjOdds,HU_ProjOdds,AO.Odds_Diff,HU.Odds_Diff,Pick,Pick_Odds,Pick_SpreadTotal,Pick_WinProb,Pick_Edge,Fract_Odds,Kelly_Criteria,bet_type_full,KC_tier,bet,
8/16/2021,Angels,Jose Suarez,Yankees,Gerrit Cole,TT,-145,4.5,110,4.5,3.953246688,4.89100788,0.591836735,0.476190476,0.540178357,0.459821587,-0.051658378,-0.01636889,Under,110,4.5,0.459821587,-0.01636889,1.1,-0.031249698,Team Total - New York Yankees - 4.5,-0.05,,
8/16/2021,Orioles,Matt Harvey,Rays,Josh Fleming,Alt Total,130,9.5,-170,9.5,3.861692993,4.90764518,0.434782609,0.62962963,0.382231004,0.617768935,-0.052551605,-0.011860695,Under,-170,9.5,0.617768935,-0.011860695,0.588235294,-0.032023875,Alternate Total - Game - 9.5,-0.05,,
8/16/2021,Astros,Jake Odorizzi,Royals,Carlos Hernandez,Alt Total,145,11.5,-190,11.5,6.651556157,4.082034312,0.408163265,0.655172414,0.388957491,0.611035629,-0.019205775,-0.044136784,Over,145,11.5,0.388957491,-0.019205775,1.45,-0.032451136,Alternate Total - Game - 11.5,-0.05,,
8/16/2021,Mets,Rich Hill,Giants,Kevin Gausman,Alt Total,-160,7.5,120,7.5,3.401001357,5.00668311,0.615384615,0.454545455,0.602359234,0.397640683,-0.013025381,-0.056904772,Over,-160,7.5,0.602359234,-0.013025381,0.625,-0.033865991,Alternate Total - Game - 7.5,-0.05,,
8/16/2021,Braves,Touki Toussaint,Marlins,Braxton Garrett,TT,120,4,-160,4,5.341808907,4.333679384,0.454545455,0.615384615,0.43606367,0.371129309,-0.018481784,-0.244255307,Over,120,4,0.43606367,-0.018481784,1.2,-0.033883271,Team Total - Miami Marlins - 4,-0.05,,
8/16/2021,Orioles,Matt Harvey,Rays,Collin McHugh,TT,-145,4.5,110,4.5,4.078348179,4.90764518,0.591836735,0.476190476,0.54315458,0.45684536,-0.048682155,-0.019345116,Under,110,4.5,0.45684536,-0.019345116,1.1,-0.036931585,Team Total - Tampa Bay Rays - 4.5,-0.05,,
8/16/2021,Orioles,Matt Harvey,Rays,Josh Fleming,TT,-145,4.5,110,4.5,3.861692993,4.90764518,0.591836735,0.476190476,0.54315458,0.45684536,-0.048682155,-0.019345116,Under,110,4.5,0.45684536,-0.019345116,1.1,-0.036931585,Team Total - Tampa Bay Rays - 4.5,-0.05,,
8/16/2021,Angels,Jose Suarez,Yankees,Gerrit Cole,F5ML,200,NA,-275,NA,1.94503057,3.09904739,0.333333333,0.733333333,0.307267555,0.692732445,-0.026065779,-0.040600888,Angels,200,NA,0.307267555,-0.026065779,2,-0.039098668,Moneyline - 5 Inning Line,-0.05,,
8/16/2021,Athletics,Frankie Montas,White Sox,Dallas Keuchel,Alt Total,-160,8,120,8,4.982657916,4.453803964,0.615384615,0.454545455,0.600312142,0.275308022,-0.015072474,-0.179237433,Over,-160,8,0.600312142,-0.015072474,0.625,-0.039188432,Alternate Total - Game - 8,-0.05,,
8/16/2021,Cubs,Justin Steele,Reds,Wade Miley,TT,-130,5,100,5,4.713588555,4.778646837,0.565217391,0.5,0.345263829,0.480152518,-0.219953562,-0.019847482,Under,100,5,0.480152518,-0.019847482,1,-0.039694964,Team Total - Cincinnati Reds - 5,-0.05,,
8/16/2021,Cubs,Justin Steele,Reds,Wade Miley,Alt Total,-165,8.5,125,8.5,4.713588555,4.778646837,0.622641509,0.444444444,0.607219571,0.392780359,-0.015421938,-0.051664085,Over,-165,8.5,0.607219571,-0.015421938,0.606060606,-0.040868137,Alternate Total - Game - 8.5,-0.05,,
8/16/2021,Orioles,Matt Harvey,Rays,Collin McHugh,Alt Total,130,9.5,-170,9.5,4.078348179,4.90764518,0.434782609,0.62962963,0.410746246,0.589253692,-0.024036363,-0.040375938,Over,130,9.5,0.410746246,-0.024036363,1.3,-0.042525872,Alternate Total - Game - 9.5,-0.05,,
8/16/2021,Athletics,Frankie Montas,White Sox,Dallas Keuchel,F5ML,-135,NA,105,NA,2.404373564,2.096703714,0.574468085,0.487804878,0.556012015,0.443987985,-0.01845607,-0.043816893,Athletics,-135,NA,0.556012015,-0.01845607,0.740740741,-0.043371764,Moneyline - 5 Inning Line,-0.05,,
8/16/2021,Orioles,Matt Harvey,Rays,Josh Fleming,Alt F5 Total,130,5.5,-170,5.5,2.158015437,2.856665777,0.434782609,0.62962963,0.386615401,0.613384599,-0.048167208,-0.01624503,Under,-170,5.5,0.613384599,-0.01624503,0.588235294,-0.043861582,Alternate Total - 5 Inning Line - 5.5,-0.05,,
8/16/2021,Indians,Cal Quantrill,Twins,Griffin Jax,Alt TT,-180,4,135,4,6.703208084,5.396537082,0.642857143,0.425531915,0.626134568,0.213701805,-0.016722575,-0.21183011,Over,-180,4,0.626134568,-0.016722575,0.555555556,-0.046823211,Team Total - Minnesota Twins - 4,-0.05,,
8/16/2021,Mets,Rich Hill,Giants,Kevin Gausman,Alt F5 Total,115,5,-150,5,1.551812181,2.693044222,0.465116279,0.6,0.254213562,0.581115842,-0.210902717,-0.018884158,Under,-150,5,0.581115842,-0.018884158,0.666666667,-0.047210396,Alternate Total - 5 Inning Line - 5,-0.05,,
8/16/2021,Astros,Jake Odorizzi,Royals,Carlos Hernandez,TT,-165,3.5,125,3.5,6.651556157,4.082034312,0.622641509,0.444444444,0.582390149,0.417609848,-0.040251361,-0.026834596,Under,125,3.5,0.417609848,-0.026834596,1.25,-0.048302273,Team Total - Kansas City Royals - 3.5,-0.05,,
8/16/2021,Angels,Jose Suarez,Yankees,Gerrit Cole,F5RL,130,0.5,-170,-0.5,1.94503057,3.09904739,0.434782609,0.62962963,0.388325388,0.611674612,-0.046457221,-0.017955017,Yankees,-170,-0.5,0.611674612,-0.017955017,0.588235294,-0.048478547,Runline - 5 Inning Line,-0.05,,
8/16/2021,Angels,Jose Suarez,Yankees,Gerrit Cole,Alt TT,155,4,-210,4,3.953246688,4.89100788,0.392156863,0.677419355,0.362029854,0.442657122,-0.030127008,-0.234762232,Over,155,4,0.362029854,-0.030127008,1.55,-0.049563788,Team Total - Los Angeles Angels - 4,-0.05,,
8/16/2021,Athletics,Frankie Montas,White Sox,Dallas Keuchel,Alt F5 Total,-105,5,-125,5,2.404373564,2.096703714,0.512195122,0.555555556,0.297253604,0.531899113,-0.214941518,-0.023656443,Under,-125,5,0.531899113,-0.023656443,0.8,-0.053226996,Alternate Total - 5 Inning Line - 5,-0.1,,
8/16/2021,Orioles,Matt Harvey,Rays,Josh Fleming,Alt RL,295,-1.5,-450,1.5,3.861692993,4.90764518,0.253164557,0.818181818,0.191591492,0.808408448,-0.061573065,-0.009773371,Rays,-450,1.5,0.808408448,-0.009773371,0.222222222,-0.053753539,Alternate Runline - Game - 1.5,-0.1,,
8/16/2021,Mets,Rich Hill,Giants,Kevin Gausman,Alt TT,140,5.5,-185,5.5,3.401001357,5.00668311,0.416666667,0.649122807,0.385211928,0.614787989,-0.031454738,-0.034334818,Over,140,5.5,0.385211928,-0.031454738,1.4,-0.053922409,Team Total - San Francisco Giants - 5.5,-0.1,,
8/16/2021,Mets,Rich Hill,Giants,Kevin Gausman,Alt Total,160,10,-215,10,3.401001357,5.00668311,0.384615385,0.682539683,0.226531929,0.664927932,-0.158083456,-0.017611751,Under,-215,10,0.664927932,-0.017611751,0.465116279,-0.055477016,Alternate Total - Game - 10,-0.1,,
8/16/2021,Athletics,Frankie Montas,White Sox,Dallas Keuchel,TT,105,4.5,-135,4.5,4.982657916,4.453803964,0.487804878,0.574468085,0.459106131,0.540893857,-0.028698747,-0.033574229,Over,105,4.5,0.459106131,-0.028698747,1.05,-0.056030886,Team Total - Chicago White Sox - 4.5,-0.1,,
8/16/2021,Athletics,Frankie Montas,White Sox,Dallas Keuchel,F5RL,100,-0.5,-130,0.5,2.404373564,2.096703714,0.5,0.565217391,0.459820892,0.540179108,-0.040179108,-0.025038283,White Sox,-130,0.5,0.540179108,-0.025038283,0.769230769,-0.057588051,Runline - 5 Inning Line,-0.1,,
8/16/2021,Astros,Jake Odorizzi,Royals,Carlos Hernandez,Total,-115,10,-105,10,6.651556157,4.082034312,0.534883721,0.512195122,0.507944734,0.370107859,-0.026938987,-0.142087263,Over,-115,10,0.507944734,-0.026938987,0.869565217,-0.057918822,Total - Game,-0.1,,
8/16/2021,Angels,Jose Suarez,Yankees,Gerrit Cole,Alt Total,135,9.5,-180,9.5,3.953246688,4.89100788,0.425531915,0.642857143,0.392080653,0.607919289,-0.033451262,-0.034937854,Over,135,9.5,0.392080653,-0.033451262,1.35,-0.058229974,Alternate Total - Game - 9.5,-0.1,,
