"Name","Team","G","GS","IP","K.","BB.","HR.9","BABIP","LOB.","GB.","LD.","FB.","HR.FB","EV","WHIP","ERA","FIP","xFIP","SIERA","WAR","Start.IP","Relief.IP","O.Swing.","F.Strike.","SwStr.","Zone.","Barrel.","HardHit.","Date","url"
"Mark Leiter Jr.","CHC",2,0,2,0.444,0.333,0,0,1,0,0.5,0.5,0,96.9,1.5,0,3.7,4.53,5.9,0,NA,2,0.229,0.444,0.12,0.3,0.5,0.5,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Miguel Castro","ARI",2,0,2.1,0.375,0.125,0,0,1,0,0.75,0.25,0,85.7,0.43,0,1.91,2.62,2.81,0.1,NA,2.1,0.467,0.625,0.148,0.444,0.25,0.25,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Luis Castillo","SEA",2,2,11.2,0.3,0.05,0,0.115,1,0.462,0.154,0.385,0,88.8,0.43,0,1.66,3.07,2.94,0.6,11.2,NA,0.36,0.75,0.16,0.429,0,0.462,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Jimmy Cordero","NYY",3,0,2,0.5,0,0,0.333,1,1,0,0,0,80.2,0.5,0,0.7,0.7,-0.06,0,NA,2,0.231,0.625,0.161,0.567,0,0,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Joe Jimenez","ATL",2,0,1.2,0.143,0,0,0.5,1,0.5,0.167,0.333,0,98.8,1.8,0,2,3.98,3.65,0,NA,1.2,0.375,0.143,0.208,0.333,0,0.667,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Devin Williams","MIL",1,0,1,0.25,0,0,0.667,1,0.667,0.333,0,0,90,2,0,1.2,1.2,0.96,0.1,NA,1,0.25,0.25,0.125,0.25,0,0.333,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Jordan Romano","TOR",2,0,2,0.5,0,0,0,1,0.333,0,0.667,0,86.5,0,0,0.2,1.85,0.62,0.1,NA,2,0.412,0.5,0.269,0.346,0,0.333,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Kyle Freeland","COL",1,1,6,0.048,0.048,0,0.158,1,0.316,0.158,0.526,0,90.1,0.67,0,3.37,6.12,6.64,0.2,6,NA,0.275,0.619,0.027,0.459,0,0.316,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Aaron Bummer","CHW",2,0,1.2,0.333,0.167,0,0,1,0.667,0.333,0,0,82.2,0.6,0,2.6,2.6,3.28,0.1,NA,1.2,0.286,0.333,0.208,0.417,0,0.333,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
"Luis Guillorme","NYM",1,0,1,0,0,0,0.25,1,0,0.25,0.75,0,95.7,1,0,3.2,8.15,10.5,0,NA,1,0,0.25,0,0.333,0.25,0.75,2023-04-05,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-04&page=1_1000"
