"Name","Team","G","GS","IP","K.","BB.","HR.9","BABIP","LOB.","GB.","LD.","FB.","HR.FB","EV","WHIP","ERA","FIP","xFIP","SIERA","WAR","Start.IP","Relief.IP","O.Swing.","F.Strike.","SwStr.","Zone.","Barrel.","HardHit.","Date","url"
"Evan Phillips","LAD",4,0,3,0.1,0,0,0.125,1,0.25,0.125,0.625,0,84.1,0.33,0,3.73,6.42,5.74,0,NA,3,0.158,0.7,0.054,0.486,0,0,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Jose Alvarado","PHI",3,0,3,0.8,0,0,0.5,1,0.5,0.5,0,0,102.4,0.33,0,-1.94,-1.94,-0.21,0.2,NA,3,0.421,0.6,0.25,0.568,0,0.5,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Garrett Cleavinger","TBR",3,0,2.2,0.182,0.091,0,0.125,0.5,0.5,0.125,0.375,0,85.1,0.75,0,3.02,4.84,4.5,0,NA,2.2,0.296,0.545,0.085,0.426,0,0.375,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Pete Fairbanks","TBR",2,0,2,0,0,0,0.143,1,0.571,0,0.429,0,91.9,0.5,0,3.4,5.82,5.79,0,NA,2,0.444,0.714,0,0.526,0,0.429,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Phil Maton","HOU",4,0,4.1,0.235,0.059,0,0.1,1,0.5,0,0.5,0,81.4,0.46,0,3.63,5.49,3.61,0,NA,4.1,0.3,0.706,0.135,0.423,0,0.2,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Alex Young","CIN",4,0,3.2,0.313,0.063,0,0.4,1,0.444,0.222,0.333,0,90.2,1.36,0,1.49,2.81,2.78,0.2,NA,3.2,0.425,0.688,0.217,0.333,0,0.3,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Enyel De Los Santos","CLE",5,0,4.2,0.263,0.105,0,0.273,1,0.364,0.273,0.364,0,83.3,1.07,0,3.18,4.57,3.85,0.1,NA,4.2,0.341,0.421,0.1,0.436,0.091,0.273,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Hobie Harris","WSN",2,0,1.2,0.333,0.167,0,0.333,1,0.333,0,0.667,0,89,1.2,0,2.8,4.73,4.09,0,NA,1.2,0.4,0.833,0.182,0.545,0.333,0.667,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"A.J. Minter","ATL",4,0,4,0.2,0.133,0,0.2,1,0.4,0.2,0.4,0,85.8,1,0,3.4,5.01,4.98,0.1,NA,4,0.442,0.6,0.141,0.394,0,0.2,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Freddy Peralta","MIL",1,1,6,0.318,0.136,0,0.167,1,0.5,0.083,0.417,0,80.9,0.83,0,2.56,3.91,4.04,0.2,6,NA,0.294,0.5,0.129,0.4,0.083,0.167,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Jose Quijada","LAA",3,0,3,0.273,0.091,0,0.143,1,0.429,0.286,0.286,0,83,0.67,0,2.4,3.47,3.48,0.1,NA,3,0.394,0.364,0.057,0.377,0.143,0.429,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Caleb Ferguson","LAD",3,0,3,0.091,0.091,0,0.125,1,0.875,0,0.125,0,90.6,0.67,0,4.73,5.27,3.61,0,NA,3,0.296,0.455,0.111,0.4,0,0.375,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Colin Poche","TBR",3,0,3,0,0.077,0,0.25,1,0.25,0.167,0.583,0,87,1.33,0,4.4,8.16,8.1,0,NA,3,0.407,0.769,0.114,0.386,0,0.25,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Dane Dunning","TEX",3,0,7.1,0.034,0.069,0,0.2,0.875,0.4,0.08,0.52,0,89.2,0.95,0,4.35,7.21,6.64,0,NA,7.1,0.265,0.586,0.063,0.382,0.04,0.36,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Jorge Alcala","MIN",2,0,3,0.3,0.1,0,0.333,1,0.667,0,0.333,0,93.1,1,0,2.4,3.47,3.13,0.1,NA,3,0.435,0.6,0.132,0.378,0,0.333,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Jimmy Lambert","CHW",5,0,4,0.176,0.176,0,0.182,0.8,0.273,0.182,0.545,0,88.3,1.25,0,4.15,6.57,6.21,0.1,NA,4,0.292,0.353,0.111,0.407,0,0.273,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Stephen Nogosek","NYM",1,0,2,0.125,0.25,0,0.2,1,0.6,0.2,0.2,0,81.1,1.5,0,5.4,6.2,7.6,0,NA,2,0.24,0.25,0.029,0.286,0,0.2,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"David Bednar","PIT",3,0,3,0.417,0,0,0.286,1,0.571,0,0.429,0,81.2,0.67,0,0.06,1.68,1.29,0.3,NA,3,0.522,0.667,0.22,0.439,0,0.286,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Tucker Davidson","LAA",1,0,4,0.214,0.071,0,0.3,1,0.4,0.3,0.3,0,89.9,1,0,2.65,3.86,3.91,0,NA,4,0.273,0.429,0.1,0.45,0,0.4,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Trevor Stephan","CLE",5,0,5,0.278,0.056,0,0.25,1,0.364,0.091,0.545,0,84.3,0.8,0,2,3.93,3.24,0.2,NA,5,0.415,0.778,0.101,0.406,0.167,0.167,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Bryse Wilson","MIL",2,0,4,0.235,0.176,0,0.111,1,0.333,0.444,0.222,0,85.6,1,0,4.4,5.2,5.19,0,NA,4,0.25,0.529,0.063,0.344,0,0.333,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Dylan Lee","ATL",4,0,3.2,0.154,0.154,0,0.111,1,0.111,0.333,0.556,0,86.3,0.82,0,3.94,6.14,6.59,0,NA,3.2,0.294,0.538,0.088,0.404,0,0.333,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Tyler Wells","BAL",1,0,5,0.125,0,0,0,1,0.429,0.071,0.5,0,87.7,0,0,2.6,4.86,4.54,0.1,NA,5,0.44,0.625,0.085,0.468,0,0.286,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Eli Morgan","CLE",5,0,6,0.391,0.043,0,0.308,0.8,0.385,0.231,0.385,0,86.3,0.83,0,0.9,2.24,1.9,0.3,NA,6,0.34,0.696,0.172,0.525,0.154,0.231,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Andres Munoz","SEA",4,0,3.1,0.2,0.067,0,0.364,1,0.727,0,0.273,0,85.3,1.5,0,2.5,3.95,3.25,0.1,NA,3.1,0.423,0.533,0.163,0.469,0.091,0.455,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Denyi Reyes","NYM",2,0,1.2,0.2,0,0,0.25,1,0.25,0.5,0.25,0,83.5,0.6,0,2.2,3.17,3.48,0,NA,1.2,0.4,0.8,0.231,0.615,0,0,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Jhoan Duran","MIN",3,0,2.1,0.444,0.222,0,0,1,0.667,0,0.333,0,87.4,0.86,0,2.54,3.23,3.95,0.1,NA,2.1,0.448,0.556,0.256,0.256,0,0.333,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Dauri Moreta","PIT",4,0,4.1,0.389,0.222,0,0.143,1,0.143,0.143,0.714,0,92.8,1.15,0,2.94,4.8,4.47,0.2,NA,4.1,0.222,0.444,0.115,0.372,0.143,0.429,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Dany Jimenez","OAK",2,0,2.2,0.2,0.2,0,0,1,0.167,0,0.833,0,83.9,0.75,0,4.15,7.17,6.99,0.1,NA,2.2,0.226,0.5,0.102,0.367,0,0.167,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Peter Strzelecki","MIL",4,0,4,0.077,0,0,0.083,1,0.667,0.083,0.25,0,81.7,0.25,0,2.9,4.11,3.62,0.1,NA,4,0.29,0.615,0.018,0.436,0,0.167,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Cole Sands","MIN",1,0,2,0.1,0,0,0.556,1,0.667,0.222,0.111,0,96.1,2.5,0,2.4,3.2,2.64,0,NA,2,0.308,0.7,0.107,0.536,0.111,0.556,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Cole Ragans","TEX",3,0,3.1,0.333,0.267,0,0.333,1,0.667,0,0.333,0,97.6,1.8,0,4,4.97,5.8,0,NA,3.1,0.231,0.4,0.111,0.381,0,0.833,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Jose Hernandez","PIT",3,0,3.1,0.273,0,0,0.125,1,0.5,0.25,0.25,0,90.2,0.3,0,1.6,2.57,2.34,0.1,NA,3.1,0.435,0.818,0.15,0.425,0,0.5,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Colin Holderman","PIT",3,0,3,0.091,0.091,0,0.222,1,0.667,0.111,0.222,0,91.2,1,0,3.73,4.81,4.68,0.1,NA,3,0.379,0.727,0.065,0.37,0,0.556,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Packy Naughton","STL",4,0,5,0.294,0.059,0,0.182,1,0.636,0.091,0.273,0,91.1,0.6,0,2,2.97,2.58,0.1,NA,5,0.364,0.706,0.103,0.353,0.091,0.455,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Kyle Bradish","BAL",1,1,1.2,0.286,0.143,0,0.25,1,0.75,0.25,0,0,94,1.2,0,2.8,2.8,3.51,0,1.2,NA,0.25,0.571,0.107,0.286,0,0.5,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Gus Varland","MIL",4,0,4.2,0.19,0.095,0,0.333,1,0.6,0.2,0.2,0,92.1,1.5,0,2.97,4.01,3.92,0.1,NA,4.2,0.179,0.714,0.093,0.48,0,0.4,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Andrew Wantz","LAA",2,0,4,0.417,0,0,0,1,0.429,0,0.571,0,82.5,0,0,0.9,2.51,1.39,0.1,NA,4,0.3,0.5,0.087,0.348,0.143,0.286,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Penn Murfee","SEA",6,0,4.2,0.176,0.176,0,0.091,0.75,0.455,0.182,0.364,0,83.4,0.86,0,4.04,5.42,5.9,0,NA,4.2,0.412,0.588,0.138,0.469,0,0.273,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Drew Rasmussen","TBR",1,1,6,0.35,0,0,0.154,1,0.538,0.154,0.308,0,84.3,0.33,0,1.06,2.14,2.09,0.3,6,NA,0.55,0.75,0.104,0.394,0.077,0.154,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
"Zack Thompson","STL",3,0,4.1,0.353,0.118,0,0.333,1,0.778,0.222,0,0,93.5,1.15,0,2.01,2.01,2.27,0.1,NA,4.1,0.25,0.529,0.125,0.5,0,0.556,2023-04-09,"https://www.fangraphs.com/leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=c%2C7%2C8%2C13%2C120%2C121%2C40%2C43%2C44%2C48%2C47%2C49%2C51%2C322%2C42%2C6%2C45%2C62%2C122%2C59%2C55%2C57%2C105%2C112%2C113%2C111%2C325%2C328&season=2023&month=1000&season1=2023&ind=0&team=0&rost=0&age=0&filter=&players=0&startdate=2023-03-30&enddate=2023-04-08&page=1_1000"
