"game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","description","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate","copyright","totalItems","totalEvents","totalGames","totalGamesInProgress"
633756,"/api/v1.1/game/633756/feed/live","R","2021","2021-06-09T18:05:00Z","2021-06-09",FALSE,1,TRUE,"N","P","N","14-633756-2021-06-09","2021","day",9,FALSE,120,2,2,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,20,38,23,".623",137,"San Francisco Giants","/api/v1/teams/137",4,TRUE,FALSE,20,24,39,".381",140,"Texas Rangers","/api/v1/teams/140",5325,"Globe Life Field","/api/v1/venues/5325","/api/v1/game/633756/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633784,"/api/v1.1/game/633784/feed/live","R","2021","2021-06-09T19:37:00Z","2021-06-09",FALSE,1,TRUE,"N","P","N","14-633784-2021-06-09","2021","day",9,FALSE,120,2,2,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,0,FALSE,FALSE,20,20,43,".317",109,"Arizona Diamondbacks","/api/v1/teams/109",4,TRUE,FALSE,20,37,26,".587",133,"Oakland Athletics","/api/v1/teams/133",10,"Oakland Coliseum","/api/v1/venues/10","/api/v1/game/633784/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633739,"/api/v1.1/game/633739/feed/live","R","2021","2021-06-09T20:10:00Z","2021-06-09",FALSE,1,TRUE,"N","P","N","14-633739-2021-06-09","2021","day",9,FALSE,120,3,3,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,TRUE,FALSE,20,35,27,".565",112,"Chicago Cubs","/api/v1/teams/112",1,FALSE,FALSE,20,37,27,".578",135,"San Diego Padres","/api/v1/teams/135",2680,"Petco Park","/api/v1/venues/2680","/api/v1/game/633739/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633811,"/api/v1.1/game/633811/feed/live","R","2021","2021-06-09T23:05:00Z","2021-06-09",FALSE,1,TRUE,"N","P","N","14-633811-2021-06-09","2021","night",9,FALSE,120,2,2,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,14,TRUE,FALSE,19,31,24,".564",121,"New York Mets","/api/v1/teams/121",1,FALSE,FALSE,20,22,39,".361",110,"Baltimore Orioles","/api/v1/teams/110",2,"Oriole Park at Camden Yards","/api/v1/venues/2","/api/v1/game/633811/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633753,"/api/v1.1/game/633753/feed/live","R","2021","2021-06-09T23:05:00Z","2021-06-09",FALSE,1,TRUE,"N","P","N","14-633753-2021-06-09","2021","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,2,TRUE,FALSE,20,36,25,".590",119,"Los Angeles Dodgers","/api/v1/teams/119",1,FALSE,FALSE,20,23,37,".383",134,"Pittsburgh Pirates","/api/v1/teams/134",31,"PNC Park","/api/v1/venues/31","/api/v1/game/633753/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633764,"/api/v1.1/game/633764/feed/live","R","2021","2021-06-09T23:05:00Z","2021-06-09",FALSE,1,TRUE,"N","P","N","14-633764-2021-06-09","2021","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,20,29,30,".492",144,"Atlanta Braves","/api/v1/teams/144",2,TRUE,FALSE,20,29,31,".483",143,"Philadelphia Phillies","/api/v1/teams/143",2681,"Citizens Bank Park","/api/v1/venues/2681","/api/v1/game/633764/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633803,"/api/v1.1/game/633803/feed/live","R","2021","2021-06-09T23:10:00Z","2021-06-09",FALSE,1,TRUE,"N","P","N","14-633803-2021-06-09","2021","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,20,35,26,".574",117,"Houston Astros","/api/v1/teams/117",3,FALSE,FALSE,21,37,25,".597",111,"Boston Red Sox","/api/v1/teams/111",3,"Fenway Park","/api/v1/venues/3","/api/v1/game/633803/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633759,"/api/v1.1/game/633759/feed/live","R","2021","2021-06-09T23:10:00Z","2021-06-09",FALSE,1,TRUE,"N","P","N","14-633759-2021-06-09","2021","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,9,TRUE,FALSE,20,31,32,".492",136,"Seattle Mariners","/api/v1/teams/136",6,FALSE,FALSE,20,25,36,".410",116,"Detroit Tigers","/api/v1/teams/116",2394,"Comerica Park","/api/v1/venues/2394","/api/v1/game/633759/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633767,"/api/v1.1/game/633767/feed/live","R","2021","2021-06-09T23:10:00Z","2021-06-09",FALSE,1,TRUE,"N","P","N","14-633767-2021-06-09","2021","night",9,FALSE,120,2,2,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,9,TRUE,FALSE,19,25,33,".431",120,"Washington Nationals","/api/v1/teams/120",7,FALSE,FALSE,20,39,24,".619",139,"Tampa Bay Rays","/api/v1/teams/139",12,"Tropicana Field","/api/v1/venues/12","/api/v1/game/633767/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633738,"/api/v1.1/game/633738/feed/live","R","2021","2021-06-09T23:10:00Z","2021-06-09",FALSE,1,TRUE,"N","P","N","14-633738-2021-06-09","2021","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,TRUE,FALSE,20,25,37,".403",115,"Colorado Rockies","/api/v1/teams/115",3,FALSE,FALSE,21,26,36,".419",146,"Miami Marlins","/api/v1/teams/146",4169,"loanDepot park","/api/v1/venues/4169","/api/v1/game/633738/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633791,"/api/v1.1/game/633791/feed/live","R","2021","2021-06-09T23:10:00Z","2021-06-09",FALSE,1,TRUE,"N","P","N","14-633791-2021-06-09","2021","night",9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,20,34,27,".557",158,"Milwaukee Brewers","/api/v1/teams/158",7,TRUE,FALSE,20,29,30,".492",113,"Cincinnati Reds","/api/v1/teams/113",2602,"Great American Ball Park","/api/v1/venues/2602","/api/v1/game/633791/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
