"game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","description","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.reason","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduleDate","rescheduleGameDate","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
630953,"/api/v1.1/game/630953/feed/live","R","2020","2020-09-17T20:40:00Z","2020-09-17",FALSE,2,TRUE,"Y","P","N","14-630953-2020-09-17","2020","night","at Oriole Park; Makeup of 8/27 PPD",7,TRUE,145,5,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",TRUE,NA,"FALSE",6,FALSE,FALSE,17,22,29,"0.431",110,"Baltimore Orioles","/api/v1/teams/110",10,TRUE,FALSE,17,33,18,"0.647",139,"Tampa Bay Rays","/api/v1/teams/139",2,"Oriole Park at Camden Yards","/api/v1/venues/2","/api/v1/game/630953/content",NA,NA,"2020-08-27T22:40:00Z","2020-08-27",NA,NA,NA,NA
631101,"/api/v1.1/game/631101/feed/live","R","2020","2020-09-17T23:05:00Z","2020-09-17",FALSE,1,TRUE,"N","P","N","14-631101-2020-09-17","2020","night",NA,9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",1,FALSE,FALSE,16,22,24,"0.478",138,"St. Louis Cardinals","/api/v1/teams/138",5,TRUE,FALSE,17,15,34,"0.306",134,"Pittsburgh Pirates","/api/v1/teams/134",31,"PNC Park","/api/v1/venues/31","/api/v1/game/631101/content",NA,NA,NA,NA,NA,NA,NA,NA
631117,"/api/v1.1/game/631117/feed/live","R","2020","2020-09-17T23:05:00Z","2020-09-17",FALSE,1,TRUE,"N","P","N","14-631117-2020-09-17","2020","night",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",10,TRUE,FALSE,16,23,27,"0.46",121,"New York Mets","/api/v1/teams/121",6,FALSE,FALSE,15,24,25,"0.49",143,"Philadelphia Phillies","/api/v1/teams/143",2681,"Citizens Bank Park","/api/v1/venues/2681","/api/v1/game/631117/content",NA,NA,NA,NA,NA,NA,NA,NA
631190,"/api/v1.1/game/631190/feed/live","R","2020","2020-09-17T23:05:00Z","2020-09-17",FALSE,1,TRUE,"N","P","N","14-631190-2020-09-17","2020","night",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",7,FALSE,FALSE,16,26,23,"0.531",141,"Toronto Blue Jays","/api/v1/teams/141",10,TRUE,FALSE,16,29,21,"0.58",147,"New York Yankees","/api/v1/teams/147",3313,"Yankee Stadium","/api/v1/venues/3313","/api/v1/game/631190/content",NA,NA,NA,NA,NA,NA,NA,NA
631464,"/api/v1.1/game/631464/feed/live","R","2020","2020-09-17T23:10:00Z","2020-09-17",FALSE,1,TRUE,"N","P","N","14-631464-2020-09-17","2020","night",NA,9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",10,TRUE,FALSE,17,27,23,"0.54",114,"Cleveland Indians","/api/v1/teams/114",3,FALSE,FALSE,17,21,28,"0.429",116,"Detroit Tigers","/api/v1/teams/116",2394,"Comerica Park","/api/v1/venues/2394","/api/v1/game/631464/content",NA,NA,NA,NA,NA,NA,NA,NA
631435,"/api/v1.1/game/631435/feed/live","R","2020","2020-09-17T23:10:00Z","2020-09-17",FALSE,1,TRUE,"N","P","N","14-631435-2020-09-17","2020","night",NA,9,FALSE,120,3,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",1,FALSE,FALSE,16,18,32,"0.36",140,"Texas Rangers","/api/v1/teams/140",2,TRUE,FALSE,16,25,25,"0.5",117,"Houston Astros","/api/v1/teams/117",2392,"Minute Maid Park","/api/v1/venues/2392","/api/v1/game/631435/content",NA,NA,NA,NA,NA,NA,NA,NA
631510,"/api/v1.1/game/631510/feed/live","R","2020","2020-09-18T00:40:00Z","2020-09-17",FALSE,1,TRUE,"N","P","N","14-631510-2020-09-17","2020","night",NA,9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",9,TRUE,FALSE,17,36,15,"0.706",119,"Los Angeles Dodgers","/api/v1/teams/119",3,FALSE,FALSE,17,22,27,"0.449",115,"Colorado Rockies","/api/v1/teams/115",19,"Coors Field","/api/v1/venues/19","/api/v1/game/631510/content",NA,NA,NA,NA,NA,NA,NA,NA
631102,"/api/v1.1/game/631102/feed/live","R","2020","2020-09-18T20:05:00Z","2020-09-18",FALSE,1,TRUE,"Y","P","N","14-631102-2020-09-18","2020","night",NA,7,FALSE,145,4,2,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",6,TRUE,FALSE,16,23,24,"0.489",138,"St. Louis Cardinals","/api/v1/teams/138",5,FALSE,FALSE,18,15,35,"0.3",134,"Pittsburgh Pirates","/api/v1/teams/134",31,"PNC Park","/api/v1/venues/31","/api/v1/game/631102/content",NA,NA,NA,NA,NA,NA,NA,NA
630987,"/api/v1.1/game/630987/feed/live","R","2020","2020-09-18T20:10:00Z","2020-09-18",FALSE,2,TRUE,"Y","P","N","14-630987-2020-09-18","2020","night","at PNC Park; Makeup of 8/12 PPD",7,TRUE,145,5,3,"Regular Season","S","N","Normal Game","Final","F","Final","F",TRUE,NA,"FALSE",2,FALSE,FALSE,17,15,36,"0.294",134,"Pittsburgh Pirates","/api/v1/teams/134",7,TRUE,FALSE,16,24,24,"0.5",138,"St. Louis Cardinals","/api/v1/teams/138",31,"PNC Park","/api/v1/venues/31","/api/v1/game/630987/content",NA,NA,"2020-08-12T18:15:00Z","2020-08-12",NA,NA,NA,NA
630907,"/api/v1.1/game/630907/feed/live","R","2020","2020-09-18T20:05:00Z","2020-09-18",FALSE,1,TRUE,"Y","P","N","14-630907-2020-09-18","2020","night","at Citizens Bank Park; Makeup of 8/2 PPD",7,TRUE,145,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,NA,"FALSE",7,TRUE,FALSE,16,25,25,"0.5",143,"Philadelphia Phillies","/api/v1/teams/143",0,FALSE,FALSE,17,26,24,"0.52",141,"Toronto Blue Jays","/api/v1/teams/141",2681,"Citizens Bank Park","/api/v1/venues/2681","/api/v1/game/630907/content",NA,NA,"2020-08-02T19:07:00Z","2020-08-02",NA,NA,NA,NA
